OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
PGC1101911,dr11-south,357.78385654088225,-2.093807825373838,0.721,131.1,0.255,17.740,SGA2020 dropped
PGC1146437,dr11-south,322.45190474426727,-0.3135609310390906,1.104,27.9,0.736,15.998,SGA2020 dropped
PGC1146477,dr11-south,218.05871684539466,-0.3113611924938987,0.722,124.2,0.181,18.855,SGA2020 dropped
PGC1157961,dr11-south,66.48640772885938,0.1338513106735104,0.706,96.0,0.226,18.860,SGA2020 dropped
PGC1158942,dr11-south,227.71438481231027,0.1739492831477187,0.729,88.8,0.450,17.540,SGA2020 dropped
PGC1162860,dr11-south,336.32071069070986,0.3200410869419848,0.704,99.0,0.257,18.475,SGA2020 dropped
PGC1169256,dr11-south,158.7675361501852,0.5614663925687334,0.789,101.2,0.721,17.651,SGA2020 dropped
PGC1170116,dr11-south,338.22462055783444,0.5941362514870479,0.783,98.8,0.221,18.123,SGA2020 dropped
PGC1170814,dr11-south,180.5890046633591,0.619140644191033,0.713,97.2,0.164,18.841,SGA2020 dropped
PGC1172956,dr11-south,3.4410651907402525,0.6935608414426603,0.742,119.2,0.722,17.581,SGA2020 dropped
PGC1189037,dr11-south,22.745813248435756,1.2481121465077907,0.756,130.5,0.216,18.355,SGA2020 dropped
PGC1195113,dr11-south,162.8925075652447,1.4437435428121173,0.734,137.9,0.164,19.050,SGA2020 dropped
PGC1218772,dr11-south,184.27513294417022,2.185976978385791,0.799,134.5,0.202,18.590,SGA2020 dropped
PGC1238151,dr11-south,175.11474014975167,2.813764376748369,0.722,119.6,0.210,18.066,SGA2020 dropped
PGC130793,dr11-south,346.4674852347256,-45.161632518166705,0.724,113.7,0.392,17.373,SGA2020 dropped
PGC1324549,dr11-south,347.57543207168817,7.544886418788169,0.772,99.6,0.859,16.536,SGA2020 dropped
PGC1004459,dr11-south,191.29002827270688,-8.380635965884883,0.763,163.5,0.296,17.674,SGA2020 dropped
PGC1582826,dr11-south,4.786487651417406,19.167295653544453,0.800,107.3,0.823,16.560,SGA2020 dropped
PGC164101,dr11-south,338.3260499681365,0.47546358826611557,0.792,23.9,0.738,16.457,SGA2020 dropped
PGC1865728,dr11-south,117.48113486305576,29.420091002348855,1.269,153.7,0.755,16.133,SGA2020 dropped
PGC1043297,dr11-south,331.38534276674994,-5.5497071247505065,0.789,159.0,0.363,17.410,SGA2020 dropped
PGC1920507,dr11-south,243.89505095640578,30.846171056653443,0.798,15.9,0.389,15.635,SGA2020 dropped
PGC1923586,dr11-south,124.9372292811671,30.91567272273685,1.105,0.9,0.605,16.672,SGA2020 dropped
PGC1937535,dr11-south,163.35369286965766,31.229677013507647,0.912,142.1,0.719,16.851,SGA2020 dropped
PGC1937564,dr11-south,167.25445864914332,31.230780862028325,0.770,22.8,0.803,17.470,SGA2020 dropped
PGC1947950,dr11-south,115.52291599586658,31.454796626182517,0.733,84.7,0.833,17.188,SGA2020 dropped
PGC1957259,dr11-south,143.0617904112051,31.645408368159213,0.763,116.1,0.615,19.029,SGA2020 dropped
PGC1960575,dr11-south,237.24737710908138,31.7142658166498,0.706,61.4,0.774,17.207,SGA2020 dropped
PGC1962035,dr11-south,161.69111081907855,31.74077496349697,0.818,80.1,0.788,17.040,SGA2020 dropped
PGC1966196,dr11-south,243.93810986869883,31.821828009862962,1.008,99.4,0.599,16.679,SGA2020 dropped
PGC1966847,dr11-south,239.64736422917417,31.83421726751526,0.749,121.4,0.320,17.801,SGA2020 dropped
PGC1985761,dr11-south,142.68202775900406,32.20771123426877,0.858,102.2,0.647,17.439,SGA2020 dropped
PGC2000733,dr11-south,134.34906445824006,32.52108996046874,0.821,25.2,0.741,16.778,SGA2020 dropped
PGC2004096,dr11-south,236.59560921010916,32.59581999086053,0.777,150.4,0.842,16.764,SGA2020 dropped
PGC2012181,dr11-south,255.33879371250288,32.785592599030245,0.737,22.6,0.915,16.466,SGA2020 dropped
PGC2019193,dr11-south,255.43662729306305,32.97215931565324,0.891,42.0,0.768,16.694,SGA2020 dropped
PGC2022041,dr11-south,255.4757505058979,33.058808500434765,0.762,157.4,0.556,17.115,SGA2020 dropped
PGC2025391,dr11-south,29.36831485579036,33.16996432934191,0.712,41.3,0.416,17.850,SGA2020 dropped
PGC2030766,dr11-south,255.60486273095515,33.37989117401245,0.762,53.1,0.813,16.697,SGA2020 dropped
PGC2035983,dr11-south,249.87257706235417,33.62967832751631,0.750,124.3,0.839,17.303,SGA2020 dropped
PGC2036350,dr11-south,139.96786827803032,33.64949618152105,0.721,85.9,0.961,15.876,SGA2020 dropped
PGC2042619,dr11-south,162.4881896029611,34.02126654146851,1.069,166.4,0.582,16.512,SGA2020 dropped
PGC2049757,dr11-south,226.68534774728815,34.4730937031111,0.719,132.2,0.665,16.760,SGA2020 dropped
PGC3088819,dr11-south,255.3856974723594,33.0522272882487,0.902,110.8,0.745,16.184,SGA2020 dropped
PGC3294827,dr11-south,190.88958139322477,1.3339610397743338,0.712,60.8,0.213,18.605,SGA2020 dropped
PGC337432,dr11-south,353.15372375880224,-62.97171614627306,0.763,160.4,0.211,17.850,SGA2020 dropped
PGC345813,dr11-south,82.56061572420649,-62.35601371128801,0.793,169.8,0.173,18.710,SGA2020 dropped
PGC350629,dr11-south,355.75636863871017,-61.97183997970497,0.788,42.1,0.233,17.670,SGA2020 dropped
PGC353441,dr11-south,9.597589461354355,-61.66712951743512,0.761,18.8,0.366,17.480,SGA2020 dropped
PGC358411,dr11-south,87.9026839821712,-61.050686051447116,0.712,115.9,0.216,17.790,SGA2020 dropped
PGC361482,dr11-south,34.257049333651096,-60.667215087785955,0.713,28.7,0.206,18.190,SGA2020 dropped
PGC362127,dr11-south,309.4558213952444,-60.59142773384111,0.714,149.5,0.248,17.370,SGA2020 dropped
PGC366204,dr11-south,26.529902766984144,-60.09457377136418,0.709,122.1,0.182,18.160,SGA2020 dropped
PGC375434,dr11-south,54.57491266652684,-58.90762307647122,0.729,44.8,0.190,18.610,SGA2020 dropped
PGC376572,dr11-south,313.004817631891,-58.758994143325175,0.790,150.3,0.184,18.210,SGA2020 dropped
PGC378531,dr11-south,26.495084720363575,-58.52487407736032,0.745,153.1,0.227,18.060,SGA2020 dropped
PGC380488,dr11-south,55.72528552982283,-58.28428470349819,0.704,131.3,0.184,18.670,SGA2020 dropped
