# Custom external galaxy catalog, containing objects missing from HyperLeda, NED-LVS, and LVD.
# diameter is in arcmin
#
# LVD's Dw1245+6158:
#   ,SMDG J1245495+615810,191.45623,61.96947,0.4593333333333333,0.4,67.79,17.71,r,Row 4871 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's KK 166:
#   ,SMDG J1249122+353645,192.30065,35.61258,0.399,0.84,67.09,18.58,r,Row 4952 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's KK 193:
#  ,SMDG J1315298+413008,198.87417,41.50223,0.39866666666666667,0.77,299.17,18.14,r,Row 5316 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's NGC 4631-dw3:
#  ,SMDG J1242530+322721,190.72097,32.45592,0.4233333333333333,0.9,81.86,19.28,r,Row 4788 in 'SMUDGes_catalog.6_23.ascii'
#
# Super-faint!
#   ,SMDG J0130373-195118,22.65546,-19.85495,2.2623333333333333,0.48,89.53,17.63,r,Row 617 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J0151087-141129,27.7863,-14.19137,1.3086666666666666,0.78,333.63,17.1,r,Row 746 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J0441370-014216,70.40414,-1.70431,1.3286666666666667,0.66,332.62,17.72,r,Row 1933 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J1225544+140829,186.47664,14.14138,1.29,0.6,59.07,17.61,r,Row 4106 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J1230495+133018,187.70627,13.50494,0.44033333333333335,0.81,309.33,18.42,r,Row 4370 in 'SMUDGes_catalog.6_23.ascii'
#
# Shreds of UGC 05706:
# ,SMDG J1031105+343018,157.79394,34.50495,0.7579999999999999,0.74,280.3,16.43,r,Row 2806 in 'SMUDGes_catalog.6_23.ascii'
# ,SMDG J1031120+343013,157.79989,34.50348,0.6716666666666666,0.89,286.53,16.25,r,Row 2807 in 'SMUDGes_catalog.6_23.ascii'
#
objname,objname_ned,ra,dec,diam,ba,pa,mag,mag_band,essential_note
,SMDG J1155176+461858,178.82333,46.31616,0.25266666666666665,0.57,79.86,18.92,r,Row 3473 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1155394+451100,178.9143,45.18312,0.33699999999999997,0.58,66.17,18.33,r,Row 3475 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1155533+063539,178.97195,6.59425,0.29133333333333333,0.57,31.59,19.18,r,Row 3477 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1155584+000236,178.99342,0.04323,0.2816666666666666,0.61,39.53,18.59,r,Row 3479 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1155591+274558,178.99607,27.76604,0.31,0.38,308.34000000000003,18.66,r,Row 3480 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1156159+365837,179.06621,36.97689,0.266,0.7,73.22,19.86,r,Row 3484 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1156531+561256,179.22126,56.21568,0.4116666666666667,0.6,2.75,17.61,r,Row 3487 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1157078+314735,179.28234,31.79294,0.26566666666666666,0.51,57.99,18.6,r,Row 3490 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1157366+530959,179.40266,53.16634,0.35200000000000004,0.42,37.49,18.8,r,Row 3497 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1158026+551447,179.51097,55.24633,0.266,0.91,299.15999999999997,18.51,r,Row 3499 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1158167-012921,179.56947,-1.48912,0.26333333333333336,0.48,271.85,20.45,r,Row 3501 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1158361+301709,179.65037,30.28581,0.33066666666666666,0.7,274.4,17.79,r,Row 3506 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1159081+321255,179.78366,32.21519,0.48633333333333334,0.73,60.7,18.32,r,Row 3508 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1159128+423048,179.80336,42.5133,0.26633333333333337,0.68,14.29,19.65,r,Row 3509 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1159360+113608,179.89988,11.60216,0.464,0.64,26.78,18.18,r,Row 3512 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1159435-004622,179.93139,-0.77266,0.31466666666666665,0.52,284.84000000000003,18.42,r,Row 3514 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1200107+445103,180.04478,44.85079,0.284,0.6,325.87,18.52,r,Row 3517 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1200120+551741,180.0499,55.29474,0.263,0.77,40.06,20.0,r,Row 3518 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1200284+562155,180.11824,56.36519,0.321,0.56,29.35,18.97,r,Row 3521 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1200397+212449,180.16535,21.41369,0.31033333333333335,0.7,75.2,19.37,r,Row 3524 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1200525+543856,180.21867,54.64887,0.2903333333333334,0.91,51.89,19.11,r,Row 3526 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201099+554017,180.29105,55.67139,0.2916666666666667,0.53,48.36,18.66,r,Row 3528 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201148+200209,180.31172,20.03591,0.37133333333333335,0.81,287.45,18.96,r,Row 3530 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201360+615010,180.39985,61.83615,0.323,0.84,42.42,18.72,r,Row 3533 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201405-011214,180.41863,-1.20388,0.4276666666666667,0.8,68.55,17.61,r,Row 3535 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201473+282140,180.4471,28.3611,0.382,0.91,281.38,16.94,r,Row 3537 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201573+562827,180.48877,56.47415,0.2533333333333333,0.9,27.95,18.77,r,Row 3539 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1201595+305752,180.49781,30.96432,0.3223333333333333,0.56,279.7,19.59,r,Row 3540 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1202341+042053,180.64211,4.34817,0.354,0.9,58.74,18.15,r,Row 3543 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1202370+013027,180.65426,1.50758,0.3013333333333333,0.53,84.24,19.25,r,Row 3545 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1202510+442418,180.71268,44.40499,0.26166666666666666,0.44,355.43,19.27,r,Row 3547 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1203189+730016,180.82856,73.00438,0.271,0.72,307.83,19.18,r,Row 3550 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1203368+335416,180.90346,33.90455,0.28200000000000003,0.65,79.47,19.3,r,Row 3554 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1203416+015558,180.92348,1.93267,0.2723333333333333,0.73,87.73,18.9,r,Row 3555 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1203449+252436,180.9371,25.41005,0.331,0.7,310.42,18.51,r,Row 3557 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1203548+650338,180.97833,65.06047,0.27066666666666667,0.52,72.89,18.64,r,Row 3559 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1204493+442633,181.20521,44.44255,0.26866666666666666,0.79,272.14,18.93,r,Row 3571 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1204556-004144,181.23162,-0.69559,0.533,0.38,83.76,17.91,r,Row 3572 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205246+434230,181.3527,43.70829,0.431,0.68,54.96,16.99,r,Row 3580 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205302+110750,181.37595,11.13046,0.368,0.54,69.66,20.29,r,Row 3582 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205395+141416,181.41472,14.23775,0.30333333333333334,0.74,38.26,19.08,r,Row 3585 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205453+394932,181.43885,39.8256,0.3253333333333333,0.77,64.6,17.54,r,Row 3586 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205453+493855,181.43877,49.64874,0.25033333333333335,0.73,278.28,19.57,r,Row 3587 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205459+615644,181.4414,61.94559,0.374,0.87,36.85,18.22,r,Row 3588 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1205586+104532,181.49433,10.75885,0.39566666666666667,0.53,69.17,19.67,r,Row 3595 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1206199+015623,181.58288,1.93974,0.35866666666666663,0.78,280.47,19.75,r,Row 3598 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1206307+151256,181.62797,15.21551,0.26233333333333336,0.48,37.12,18.98,r,Row 3600 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1206314+745904,181.63101,74.98442,0.364,0.53,22.17,18.46,r,Row 3601 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1207535+652826,181.97287,65.47393,0.26766666666666666,0.98,324.08,18.69,r,Row 3617 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1208055+124550,182.02271,12.764,0.5533333333333333,0.88,8.3,16.83,r,Row 3621 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1208181+320049,182.07532,32.01362,0.32066666666666666,0.6,308.31,18.48,r,Row 3626 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1208466+523345,182.19401,52.56258,0.32733333333333337,0.55,283.73,18.04,r,Row 3628 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1208575+242238,182.23939,24.37728,0.3466666666666667,0.72,47.59,18.1,r,Row 3630 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1209172+391657,182.32186,39.28253,0.32466666666666666,0.43,25.97,18.33,r,Row 3632 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1209333+030102,182.38859,3.01717,0.30233333333333334,0.61,342.49,18.15,r,Row 3636 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1209459+133308,182.44122,13.55218,0.37433333333333335,0.58,65.94,17.86,r,Row 3640 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1209520+153809,182.46652,15.63586,0.31933333333333336,0.9,42.86,19.09,r,Row 3644 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1210067+352635,182.528,35.44303,0.26366666666666666,0.78,67.85,18.42,r,Row 3647 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1210098+142009,182.54079,14.33578,0.2653333333333333,0.72,342.02,18.43,r,Row 3649 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1210253+385007,182.60526,38.83517,0.294,0.63,342.69,18.01,r,Row 3651 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1210445+232352,182.68538,23.39782,0.27666666666666667,0.39,312.34000000000003,19.35,r,Row 3654 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1211436+180624,182.93174,18.10663,0.251,0.86,72.94,20.1,r,Row 3664 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212046+530707,183.01928,53.11862,0.3393333333333333,0.64,350.75,18.57,r,Row 3669 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212061+145711,183.02542,14.95303,0.38666666666666666,0.64,12.17,18.04,r,Row 3670 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212178+423735,183.07417,42.62637,0.3143333333333333,0.84,347.36,17.34,r,Row 3675 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212203+675101,183.08442,67.85036,0.28,0.68,329.56,18.54,r,Row 3676 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212212+025625,183.08842,2.9402,0.3363333333333333,0.86,353.92,17.79,r,Row 3677 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212268+131647,183.11165,13.27974,0.29566666666666663,0.88,334.0,17.67,r,Row 3680 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212291+130334,183.12142,13.0595,0.31933333333333336,0.81,318.11,20.08,r,Row 3682 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212411+140845,183.17145,14.14589,0.31166666666666665,0.71,271.18,19.36,r,Row 3683 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212438+005855,183.18243,0.98189,0.30866666666666664,0.98,346.07,17.81,r,Row 3684 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1212572+011348,183.23827,1.23011,0.4983333333333333,0.51,27.69,17.55,r,Row 3685 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213061+294550,183.27521,29.76382,0.3403333333333334,0.73,295.93,18.07,r,Row 3688 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213093+170554,183.28895,17.09836,0.289,0.38,302.56,19.87,r,Row 3689 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213220+250252,183.34181,25.04776,0.36933333333333335,0.65,39.65,20.03,r,Row 3692 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213249+311057,183.3536,31.18249,0.37066666666666664,0.42,64.2,19.92,r,Row 3694 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213301+011149,183.37542,1.19687,0.3526666666666667,0.51,332.93,19.58,r,Row 3695 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213312+060446,183.37979,6.07948,0.5593333333333333,0.86,308.68,17.52,r,Row 3696 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213375+243924,183.40605,24.65677,0.3396666666666667,0.39,321.0,18.85,r,Row 3699 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213477+062147,183.44864,6.36296,0.5013333333333333,0.73,24.38,17.06,r,Row 3701 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213493+071450,183.45559,7.24731,0.9016666666666667,0.67,276.84000000000003,18.68,r,Row 3702 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1213583+331207,183.49277,33.20187,0.27599999999999997,0.86,306.25,18.42,r,Row 3705 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1214055+070631,183.52289,7.10856,0.30966666666666665,0.79,329.41,18.91,r,Row 3706 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1214089+094316,183.53699,9.72111,0.894,0.51,41.06,17.07,r,Row 3710 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1214097+131401,183.54059,13.23356,0.25533333333333336,0.65,79.32,18.86,r,Row 3711 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1214114+155753,183.54769,15.96463,0.6353333333333333,0.69,358.56,16.07,r,Row 3713 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1214418+274955,183.6741,27.83207,0.292,0.63,307.6,18.93,r,Row 3720 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1214429+291508,183.67878,29.25219,0.31166666666666665,0.82,32.12,19.14,r,Row 3722 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215046+130630,183.76926,13.10836,0.3436666666666667,0.77,33.31,18.63,r,Row 3724 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215054-080302,183.77254,-8.05061,0.277,0.68,315.65,19.5,r,Row 3725 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215103+071839,183.79271,7.31072,0.4676666666666666,0.62,321.42,19.37,r,Row 3726 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215164+263120,183.81819,26.52215,0.31,0.81,357.45,18.59,r,Row 3727 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215177+144138,183.82372,14.69385,0.284,0.65,15.57,19.41,r,Row 3728 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215236+031829,183.84841,3.30817,0.40099999999999997,0.84,25.82,17.72,r,Row 3730 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215479+291725,183.94949,29.29017,0.30566666666666664,0.68,356.54,18.61,r,Row 3740 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215513+473253,183.96366,47.54803,0.3446666666666667,0.8,359.28,19.13,r,Row 3741 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1215560+093902,183.98345,9.65059,0.6226666666666667,0.45,286.75,17.85,r,Row 3743 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216017+151514,184.00703,15.25392,0.2803333333333333,0.45,36.47,19.82,r,Row 3745 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216028+043952,184.01152,4.66457,0.286,0.46,282.59000000000003,20.5,r,Row 3746 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216119+082225,184.04977,8.37348,0.353,0.79,334.78,17.4,r,Row 3749 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216138+153323,184.05746,15.55634,0.47700000000000004,0.46,20.82,17.51,r,Row 3751 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216230+074756,184.09591,7.79893,0.6326666666666667,0.73,2.85,16.74,r,Row 3752 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216300+061514,184.12494,6.25385,0.2773333333333333,0.66,84.43,19.85,r,Row 3754 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216326+130951,184.13567,13.16423,1.0673333333333335,0.6,72.79,16.82,r,Row 3755 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216353+114824,184.14724,11.80654,0.4643333333333333,0.43,75.19,18.29,r,Row 3756 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216389+292843,184.16208,29.47872,0.28200000000000003,0.9,28.33,18.36,r,Row 3757 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216546+175615,184.2275,17.93753,0.5246666666666667,0.49,289.52,18.4,r,Row 3764 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216591+070111,184.24619,7.01981,0.442,0.69,323.93,18.92,r,Row 3767 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1216594+655843,184.24743,65.97847,0.25833333333333336,0.62,59.88,18.8,r,Row 3768 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217010+070643,184.2542,7.11181,0.29266666666666663,0.63,328.82,19.26,r,Row 3769 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217166+055736,184.31931,5.96014,0.38033333333333336,0.85,273.52,19.02,r,Row 3773 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217179+405132,184.32465,40.85893,0.2773333333333333,0.51,290.6,19.7,r,Row 3774 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217202+301000,184.33416,30.16666,0.26966666666666667,0.52,319.82,19.56,r,Row 3777 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217246+133039,184.35258,13.51074,0.3626666666666667,0.68,288.93,18.53,r,Row 3778 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217266+134413,184.36093,13.73702,0.632,0.97,314.81,15.86,r,Row 3779 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217281+305553,184.36688,30.93129,0.32733333333333337,0.73,48.68,18.96,r,Row 3781 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217311+003133,184.37938,0.5259,0.27166666666666667,0.83,55.79,19.03,r,Row 3783 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217312+142122,184.38,14.35602,0.45,0.68,331.98,17.14,r,Row 3784 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217325+182419,184.38542,18.4054,0.3263333333333333,0.9,343.42,17.43,r,Row 3785 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217337+060100,184.39046,6.01655,0.4103333333333333,0.56,85.77,19.19,r,Row 3786 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217356+073208,184.39854,7.53557,0.4583333333333333,0.56,38.89,18.11,r,Row 3788 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217363+052529,184.4013,5.42474,0.4726666666666667,0.92,49.62,17.31,r,Row 3789 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217377+283520,184.40716,28.58881,0.34299999999999997,0.7,46.85,18.41,r,Row 3790 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217391+141640,184.41297,14.27768,0.3626666666666667,0.67,89.39,17.41,r,Row 3792 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217398+052030,184.41567,5.34177,0.4886666666666667,0.71,292.34000000000003,16.91,r,Row 3793 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217441+051952,184.43389,5.33108,0.30566666666666664,0.63,49.74,19.7,r,Row 3797 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217442+332045,184.43411,33.34571,0.5850000000000001,0.83,77.99,17.59,r,Row 3798 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217463+035148,184.44284,3.86345,0.30533333333333335,0.57,292.57,18.36,r,Row 3801 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217520+055921,184.46658,5.98909,0.35333333333333333,0.93,288.53,18.23,r,Row 3807 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217546+660007,184.47731,66.00197,0.3476666666666667,0.65,305.94,18.34,r,Row 3809 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1217553+073324,184.48054,7.55676,0.26566666666666666,0.52,286.0,20.14,r,Row 3810 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218293+283846,184.62189,28.6462,0.45666666666666667,0.9,353.84,16.35,r,Row 3821 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218348+061511,184.64513,6.25307,0.351,0.84,359.34,18.68,r,Row 3823 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218351+062940,184.64613,6.49448,0.45466666666666666,0.9,39.38,17.57,r,Row 3825 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218387+752311,184.66105,75.38643,0.367,0.72,86.55,17.57,r,Row 3827 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218390+285050,184.66232,28.84733,0.2613333333333333,0.66,345.94,20.51,r,Row 3828 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218426+125644,184.6776,12.94554,0.35633333333333334,0.66,61.86,19.97,r,Row 3829 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218434+293804,184.68087,29.63445,0.353,0.38,24.02,19.22,r,Row 3830 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218437+103258,184.68221,10.54947,0.309,0.98,39.12,20.09,r,Row 3831 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218508+155419,184.7116,15.9054,0.341,0.64,38.35,19.34,r,Row 3833 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218538+121138,184.72418,12.194,0.3263333333333333,0.94,6.25,18.27,r,Row 3836 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1218576+083841,184.74019,8.64469,0.48633333333333334,0.72,34.1,17.85,r,Row 3840 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219020+310424,184.75837,31.07324,0.3313333333333333,0.51,45.55,19.09,r,Row 3841 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219027+050553,184.76137,5.09803,0.4266666666666667,0.67,27.18,17.34,r,Row 3842 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219031+285404,184.76312,28.90124,0.251,0.89,68.5,18.81,r,Row 3844 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219061+474349,184.77537,47.73025,0.275,0.87,274.94,18.64,r,Row 3845 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219099+115904,184.79141,11.98446,0.28200000000000003,0.7,42.88,19.58,r,Row 3847 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219110+064754,184.79577,6.79839,0.3156666666666667,0.55,10.1,18.95,r,Row 3849 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219115+062935,184.79778,6.49302,0.25066666666666665,0.7,296.29,18.42,r,Row 3850 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219180+240824,184.82499,24.14,0.28933333333333333,0.83,323.85,20.32,r,Row 3854 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219262+131830,184.85921,13.30839,0.5586666666666668,0.55,342.14,16.65,r,Row 3857 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219266+061524,184.86077,6.25669,0.25966666666666666,0.87,4.89,18.36,r,Row 3858 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219301+295703,184.87524,29.95087,0.25166666666666665,0.82,72.96,19.51,r,Row 3859 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219307+121232,184.87782,12.20894,0.345,0.73,297.53,17.76,r,Row 3860 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219312+052944,184.88018,5.49555,0.26633333333333337,0.53,18.68,20.03,r,Row 3861 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219325+432315,184.88559,43.38749,0.3303333333333333,0.62,32.91,17.73,r,Row 3862 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219349+171423,184.89536,17.23976,0.28733333333333333,0.56,23.66,19.68,r,Row 3863 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219359+470536,184.89976,47.09322,0.25166666666666665,0.96,85.93,18.18,r,Row 3865 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219445+035041,184.93545,3.84477,0.302,0.43,307.25,18.36,r,Row 3868 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219477+144223,184.94863,14.70635,0.2876666666666667,0.98,51.73,17.6,r,Row 3871 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219477+685057,184.94877,68.84922,0.253,0.39,332.24,20.59,r,Row 3872 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219505+154017,184.96054,15.67146,0.41133333333333333,0.86,18.15,17.48,r,Row 3874 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219506+161608,184.96076,16.26882,0.2906666666666667,0.61,78.87,18.18,r,Row 3875 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1219592+065748,184.99654,6.96347,0.35233333333333333,0.38,64.42,19.47,r,Row 3878 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220005+064529,185.00222,6.75804,0.27133333333333337,0.82,309.55,20.0,r,Row 3879 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220035+054314,185.01478,5.72059,0.32599999999999996,0.76,294.77,17.77,r,Row 3880 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220053+760411,185.02227,76.06962,0.3283333333333333,0.56,346.11,18.53,r,Row 3881 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220062+750706,185.02581,75.11842,0.29566666666666663,0.92,63.15,18.1,r,Row 3882 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220137+070758,185.05726,7.13266,0.44299999999999995,0.47,294.71,18.69,r,Row 3884 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220175+101914,185.0729,10.32057,0.46799999999999997,0.81,67.29,17.48,r,Row 3888 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220179+040618,185.07462,4.10493,0.734,0.63,349.56,18.07,r,Row 3890 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220183+054810,185.07605,5.80278,0.294,0.57,56.43,20.18,r,Row 3892 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220187+280132,185.07809,28.02559,0.4003333333333333,0.65,292.12,18.17,r,Row 3893 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220246+160419,185.10242,16.07202,0.3626666666666667,0.74,0.16,19.14,r,Row 3896 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J1220269+124748,185.11213,12.79674,0.382,0.67,317.59000000000003,18.02,r,Row 3897 in 'SMUDGes_catalog.6_23.ascii'
