| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| DDO022            | 02:32:54.0 | +38:40:50 |  1.74 | 0.31 |
| DDO025            | 02:33:18.2 | +33:29:28 |  2.57 | 0.92 |
| DDO024            | 02:33:43.0 | +40:31:41 |  2.62 | 0.81 |
| MB1               | 02:35:35.6 | +59:22:47 |  1.07 | 0.42 |
| Maffei1           | 02:36:35.5 | +59:39:18 |  2.69 | 0.85 |
| FASHI0237+38      | 02:37:19.0 | +38:55:48 |  1.24 | 0.76 |
| ESO115-021        | 02:37:45.0 | -61:20:28 |  7.24 | 0.14 |
| Fornax            | 02:39:54.7 | -34:31:33 | 17.78 | 0.70 |
| Maffei2           | 02:41:54.5 | +59:36:11 |  3.80 | 0.50 |
| UGC02172          | 02:42:10.8 | +43:21:19 |  1.41 | 0.61 |
| AGC122226         | 02:46:38.9 | +27:43:35 |  0.85 | 0.55 |
| AGC124635         | 02:48:38.5 | +19:19:42 |  0.62 | 0.55 |
| AGC123352         | 02:48:39.2 | +23:16:26 |  0.33 | 0.70 |
| [KKS2000]05       | 02:49:26.1 | -13:12:42 |  1.02 | 0.43 |
| FASHI0252+40      | 02:52:10.1 | +40:46:44 |  0.36 | 0.72 |
| Dw2               | 02:54:08.5 | +59:00:19 |  1.00 | 0.40 |
| Horologium 1      | 02:55:31.7 | -54:07:08 |  2.60 | 0.70 |
| PGC2807172        | 02:55:37.8 | +19:38:04 |  0.37 | 0.74 |
| MB3               | 02:55:43.6 | +58:51:42 |  1.58 | 0.31 |
| ESO154-023        | 02:56:50.4 | -54:34:23 |  8.32 | 0.18 |
| Dw1               | 02:56:56.1 | +58:54:42 |  2.00 | 0.65 |
| AGC124056         | 02:57:36.4 | +23:47:21 |  0.23 | 0.85 |
| ESO199-007        | 02:58:04.1 | -49:22:57 |  1.07 | 0.40 |
| GALFA Dw3         | 02:58:56.5 | +13:37:45 |  0.55 | 0.30 |
| NGC1156           | 02:59:42.4 | +25:14:15 |  3.31 | 0.85 |
| N1156dw1          | 03:00:18.2 | +25:14:56 |  0.38 | 0.95 |
| N1156dw2          | 03:00:28.0 | +25:18:17 |  0.38 | 0.80 |
| LV J0300+2546     | 03:00:39.3 | +25:46:56 |  0.35 | 0.87 |
| Perseus I         | 03:01:23.6 | +40:59:18 |  3.40 | 0.57 |
| dw0301+2446       | 03:01:32.2 | +24:46:59 |  0.30 | 0.85 |
| FASHI0302+43      | 03:02:19.4 | +43:39:47 |  0.89 | 0.52 |
| KKH18             | 03:03:05.9 | +33:41:40 |  0.71 | 0.57 |
| PGC1166738        | 03:06:46.9 | +00:28:11 |  0.33 | 0.87 |
| N1291-DW9         | 03:09:25.1 | -41:04:57 |  0.25 | 0.82 |
| ESO300-014        | 03:09:37.8 | -41:01:50 |  7.08 | 0.52 |
| ESO300-016        | 03:10:10.5 | -40:00:11 |  1.45 | 0.72 |
| N1291-DW11        | 03:12:44.2 | -42:47:54 |  0.39 | 0.56 |
| N1291-DW2         | 03:15:09.7 | -40:40:05 |  0.55 | 0.95 |
| dw0315-4112       | 03:15:46.1 | -41:12:06 |  0.52 | 0.60 |
| Horologium 2      | 03:16:32.1 | -50:01:05 |  4.20 | 0.48 |
| N1291-DW8         | 03:17:01.4 | -41:42:01 |  0.53 | 0.68 |
| NGC1291           | 03:17:18.6 | -41:06:29 | 14.45 | 0.92 |
| N1291-DW3         | 03:17:29.4 | -40:58:22 |  0.58 | 0.76 |
| N1291-DW5         | 03:17:38.1 | -41:41:45 |  0.68 | 0.90 |
| NGC1313           | 03:18:15.4 | -66:29:51 | 12.59 | 0.80 |
| N1291-DW6         | 03:18:43.0 | -41:01:27 |  0.28 | 0.68 |
| N1291-DW12        | 03:18:47.0 | -42:11:58 |  0.24 | 0.85 |
| N1291-DW1         | 03:19:25.9 | -40:03:47 |  0.38 | 0.79 |
| N1291-DW4         | 03:19:43.1 | -41:26:54 |  0.62 | 0.98 |
| NGC1311           | 03:20:07.4 | -52:11:06 |  4.68 | 0.25 |
| UGC02684          | 03:20:23.7 | +17:17:42 |  1.95 | 0.50 |
| N1291-DW13        | 03:20:33.8 | -40:48:18 |  0.79 | 0.83 |
| KK27              | 03:21:03.0 | -66:19:11 |  1.17 | 0.33 |
| [KK2000] 08       | 03:21:24.6 | -41:59:54 |  1.10 | 0.87 |
| dw0321-4149       | 03:21:56.4 | -41:49:06 |  0.36 | 0.92 |
| ESO301-010        | 03:23:16.0 | -40:40:50 |  1.20 | 0.58 |
| UGC02716          | 03:24:07.2 | +17:45:15 |  1.58 | 0.56 |
| N1291-DW10        | 03:25:38.4 | -41:13:51 |  0.69 | 0.88 |
| UGC02773          | 03:32:07.1 | +47:47:37 |  1.20 | 0.75 |
| IC1959            | 03:33:11.8 | -50:24:38 |  4.07 | 0.23 |
| Reticulum 2       | 03:35:42.1 | -54:02:57 |  7.20 | 0.41 |
| PGC013294         | 03:35:56.8 | -45:11:29 |  0.62 | 0.80 |
| PGC712531         | 03:39:03.0 | -30:49:21 |  0.41 | 0.85 |
| NGC1400           | 03:39:30.8 | -18:41:17 |  3.47 | 0.87 |
| PGC681755         | 03:39:55.0 | -33:03:09 |  0.83 | 0.60 |
| Eridanus 2        | 03:44:21.1 | -43:31:59 |  3.10 | 0.60 |
| KKH22             | 03:44:56.6 | +72:03:52 |  1.05 | 0.52 |
| KK35              | 03:45:12.6 | +67:51:50 |  2.51 | 0.68 |
| IC0342            | 03:46:48.9 | +68:05:45 | 21.38 | 0.91 |
| UGC02905          | 03:57:00.6 | +16:31:28 |  1.00 | 0.60 |
| UGCA086           | 03:59:49.5 | +67:07:31 |  4.47 | 0.69 |
| IC2038            | 04:08:54.1 | -55:59:32 |  2.09 | 0.24 |
| NGC1533           | 04:09:51.8 | -56:07:06 |  3.55 | 0.82 |
| ESO359-024        | 04:10:57.5 | -35:49:51 |  1.11 | 0.69 |
| ESO483-013        | 04:12:41.1 | -23:09:32 |  1.58 | 0.54 |
| CamA              | 04:25:15.6 | +72:48:21 |  3.72 | 0.57 |
| NGC1592           | 04:29:40.8 | -27:24:31 |  1.41 | 0.48 |
| NGC1569           | 04:30:49.1 | +64:50:53 |  3.98 | 0.51 |
| UGCA092           | 04:32:00.3 | +63:36:50 |  2.00 | 0.50 |
| NGC1560           | 04:32:49.9 | +71:52:52 |  9.77 | 0.15 |
| NGC1637           | 04:41:28.2 | -02:51:29 |  4.37 | 0.79 |
| Pictoris 1        | 04:43:47.4 | -50:16:59 |  1.80 | 0.53 |
| CamB              | 04:53:06.9 | +67:05:57 |  1.48 | 0.50 |
| NGC1705           | 04:54:13.7 | -53:21:41 |  2.24 | 0.74 |
| HIPASS J0457-42   | 04:56:58.7 | -42:48:14 |  1.41 | 0.37 |
| LV J0459-2529     | 04:59:20.2 | -25:30:00 |  0.22 | 0.92 |
| NGC1744           | 04:59:58.2 | -26:01:36 |  6.92 | 0.54 |
| ESO486-021        | 05:03:19.7 | -25:25:23 |  1.51 | 0.76 |
| NGC1800           | 05:06:25.7 | -31:57:15 |  2.00 | 0.55 |
| UGCA105           | 05:14:15.1 | +62:34:51 |  5.50 | 0.64 |
| HIPASS J0517-32   | 05:17:21.6 | -32:45:35 |  0.68 | 0.59 |
| KKH30             | 05:17:42.0 | +81:37:27 |  0.85 | 0.43 |
| LMC               | 05:23:34.6 | -69:45:22 |645.65 | 0.85 |
| UGC03303          | 05:24:59.5 | +04:30:18 |  5.62 | 0.78 |
