| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| LSBC D640-08      | 11:00:52.1 | +13:52:51 |  0.81 | 0.58 |
| dw1101+11         | 11:01:21.8 | +11:45:12 |  0.34 | 0.80 |
| KDG74             | 11:02:21.8 | +70:15:50 |  0.85 | 0.67 |
| SMDG1103517+284120| 11:03:51.7 | +28:41:20 |  0.54 | 0.83 |
| SMDG1103+60       | 11:03:56.4 | +60:29:53 |  0.43 | 0.64 |
| CGCG 066-109      | 11:04:26.5 | +11:45:18 |  1.05 | 0.29 |
| FASHI1104+38      | 11:04:35.6 | +38:44:13 |  0.67 | 0.50 |
| Dw1104+0004       | 11:04:38.4 | +00:04:49 |  0.20 | 0.85 |
| KKSG20            | 11:04:40.6 | +00:03:30 |  0.52 | 0.80 |
| Dw1104+0005       | 11:04:40.9 | +00:05:33 |  0.14 | 0.95 |
| MRK0036           | 11:04:58.5 | +29:08:22 |  0.68 | 0.64 |
| LeoM              | 11:05:21.2 | +25:20:43 |  1.00 | 0.83 |
| UGC06145          | 11:05:35.0 | -01:51:49 |  1.38 | 0.56 |
| NGC3521sat        | 11:05:40.7 | +00:07:15 |  2.51 | 0.77 |
| NGC3521           | 11:05:48.6 | -00:02:09 | 10.96 | 0.46 |
| KKSG22            | 11:06:07.7 | -01:26:55 |  0.50 | 0.80 |
| Dw1106+1250       | 11:06:09.8 | +12:50:42 |  0.75 | 0.52 |
| Dw1106-0052       | 11:06:26.0 | -00:52:52 |  0.34 | 0.53 |
| dw1107-0038       | 11:07:06.2 | -00:38:02 |  0.18 | 0.50 |
| NGC3521dwTBG      | 11:07:13.1 | -00:11:15 |  0.34 | 0.92 |
| Dw1108+5520       | 11:08:59.5 | +55:20:28 |  0.33 | 0.80 |
| Dw1109+5447       | 11:09:13.2 | +54:47:10 |  0.34 | 0.78 |
| dw1109-0016       | 11:09:18.7 | -00:16:37 |  0.35 | 0.90 |
| dw1110+0037       | 11:10:29.6 | +00:37:00 |  0.39 | 0.63 |
| SMDG1110+18       | 11:10:55.0 | +18:58:52 |  0.63 | 0.83 |
| Dw1111+0049       | 11:11:23.7 | +00:49:49 |  0.52 | 0.70 |
| NGC3556           | 11:11:31.0 | +55:40:26 |  5.01 | 0.25 |
| Dw1111+1338       | 11:11:35.0 | +13:38:38 |  0.32 | 0.90 |
| Dw1113+5541       | 11:13:10.1 | +55:41:17 |  0.42 | 0.64 |
| DDO092            | 11:13:26.1 | +53:35:42 |  1.38 | 0.78 |
| LeoII             | 11:13:29.2 | +22:09:17 | 12.02 | 0.87 |
| AGC215282         | 11:14:25.2 | +15:32:02 |  0.74 | 0.45 |
| NGC3593           | 11:14:35.9 | +12:49:07 |  5.89 | 0.43 |
| AGC202256         | 11:14:45.0 | +12:38:51 |  0.40 | 0.61 |
| dw1114+1307       | 11:14:51.1 | +13:07:55 |  0.59 | 0.77 |
| AGC740666         | 11:15:21.4 | +19:14:32 |  0.57 | 0.62 |
| dw1116+5551       | 11:16:07.7 | +55:51:43 |  0.19 | 0.82 |
| dw1116+5537       | 11:16:41.3 | +55:37:00 |  0.45 | 0.58 |
| IC2684            | 11:17:01.0 | +13:05:59 |  0.81 | 0.75 |
| dw1117+1250       | 11:17:44.4 | +12:50:13 |  0.26 | 0.52 |
| dw1118+1330       | 11:18:15.8 | +13:30:50 |  0.25 | 0.95 |
| NGC3621           | 11:18:16.1 | -32:48:42 | 12.30 | 0.44 |
| dw1118+1233       | 11:18:42.2 | +12:33:40 |  0.69 | 0.63 |
| dw1118+1348       | 11:18:53.5 | +13:48:18 |  0.49 | 0.93 |
| NGC3623           | 11:18:55.9 | +13:05:33 |  8.90 | 0.26 |
| AGC215286         | 11:19:12.7 | +14:19:37 |  1.07 | 0.55 |
| AGC202257         | 11:19:14.4 | +11:57:07 |  1.09 | 0.40 |
| AGC215354         | 11:19:15.9 | +14:17:25 |  0.50 | 0.60 |
| dw1119+1404       | 11:19:21.6 | +14:04:30 |  0.87 | 0.67 |
| Dw1119+1011       | 11:19:30.7 | +10:11:56 |  0.46 | 0.65 |
| PGC034671         | 11:19:48.6 | +55:43:22 |  0.78 | 0.58 |
| NGC3627           | 11:20:15.0 | +12:59:29 | 10.23 | 0.46 |
| dw1120+1332       | 11:20:16.1 | +13:32:56 |  0.54 | 0.54 |
| NGC3628           | 11:20:17.0 | +13:35:23 | 14.70 | 0.31 |
| dw1120+1337       | 11:21:01.2 | +13:36:26 |  4.40 | 0.22 |
| dw1121+1411       | 11:21:29.3 | +14:11:49 |  0.44 | 0.82 |
| dw1121+1326       | 11:21:37.0 | +13:26:49 |  0.29 | 0.68 |
| AGC213436         | 11:22:24.0 | +12:58:46 |  0.52 | 0.98 |
| IC2782            | 11:22:55.3 | +13:26:29 |  1.21 | 0.91 |
| dw1122+5515       | 11:22:58.1 | +55:15:43 |  0.17 | 0.78 |
| KKH67             | 11:23:03.5 | +21:19:37 |  0.71 | 0.81 |
| AGC215414         | 11:23:13.4 | +13:42:50 |  1.26 | 0.57 |
| IC2787            | 11:23:19.1 | +13:37:47 |  1.07 | 0.93 |
| IC2791            | 11:23:37.6 | +12:53:45 |  0.58 | 0.68 |
| dw1123+1346       | 11:23:56.4 | +13:46:41 |  0.27 | 0.58 |
| LeoVI             | 11:24:18.6 | +24:52:26 |  5.70 | 0.46 |
| AGC215415         | 11:24:34.8 | +12:40:26 |  0.65 | 0.82 |
| dw1125+1316       | 11:25:55.0 | +13:16:08 |  0.60 | 0.70 |
| Dw1127+1346       | 11:27:13.0 | +13:46:52 |  0.35 | 0.92 |
| UGC06456          | 11:28:00.6 | +78:59:29 |  1.48 | 0.53 |
| UGC06451          | 11:28:46.4 | +79:36:07 |  2.66 | 0.53 |
| AGC213091         | 11:29:34.6 | +10:48:35 |  0.56 | 0.58 |
| KDG078            | 11:29:54.0 | +52:24:14 |  0.74 | 0.71 |
| KKH68             | 11:30:53.3 | +14:08:46 |  0.62 | 0.83 |
| LeoV              | 11:31:09.6 | +02:13:12 |  4.10 | 0.45 |
| HIPASS J1131-31   | 11:31:35.2 | -31:40:20 |  0.18 | 0.60 |
| LeoIV             | 11:32:57.0 | -00:32:00 |  7.30 | 0.78 |
| HIPASS J1133-32   | 11:33:11.0 | -32:57:43 |  0.52 | 0.50 |
| UGC06541          | 11:33:29.1 | +49:14:17 |  1.74 | 0.57 |
| AGC215248         | 11:33:50.9 | +14:03:15 |  0.43 | 0.86 |
| KKH69             | 11:34:53.3 | +11:01:12 |  0.68 | 0.63 |
| Dw1135+5433       | 11:35:21.1 | +54:33:07 |  0.44 | 0.81 |
| Dw1135+5428       | 11:35:37.2 | +54:28:52 |  0.64 | 0.83 |
| NGC3738           | 11:35:48.6 | +54:31:22 |  3.39 | 0.73 |
| NGC3741           | 11:36:06.4 | +45:17:07 |  1.48 | 0.55 |
| Crater            | 11:36:15.8 | -10:52:40 |  1.08 | 0.92 |
| ESO320-014        | 11:37:53.4 | -39:13:14 |  1.38 | 0.64 |
| [KK98] 108        | 11:40:03.6 | +46:28:43 |  0.75 | 0.84 |
| UGC06757          | 11:46:59.1 | +61:20:06 |  1.10 | 0.55 |
| KK109             | 11:47:11.2 | +43:40:19 |  0.45 | 0.67 |
| DDO097            | 11:48:57.2 | +23:50:16 |  1.58 | 0.91 |
| LV J1149+1715     | 11:49:05.6 | +17:15:21 |  0.28 | 0.68 |
| Crater 2          | 11:49:14.4 | -18:24:47 | 62.40 | 0.95 |
| HIZOA J1149-62    | 11:49:38.4 | -62:11:02 |  -99. | -99. |
| KKH73             | 11:50:06.4 | +55:47:00 |  0.69 | 0.94 |
| DDO099            | 11:50:53.0 | +38:52:50 |  4.27 | 0.37 |
| Grapes            | 11:52:05.6 | +54:47:32 |  0.27 | 0.74 |
| PGC3401153        | 11:53:52.4 | +51:29:38 |  0.42 | 0.59 |
| AGC215145         | 11:54:12.5 | +12:26:06 |  0.52 | 0.74 |
| ESO379-007        | 11:54:43.0 | -33:33:29 |  0.93 | 0.73 |
| UGC06881          | 11:54:44.7 | +20:03:20 |  1.62 | 0.39 |
| PGC4561602        | 11:55:04.2 | +28:20:53 |  0.44 | 0.56 |
| KDG81             | 11:55:14.3 | +44:09:00 |  0.88 | 0.89 |
| MCG +05-28-046    | 11:55:22.5 | +28:20:30 |  1.20 | 0.44 |
| KDG082            | 11:55:39.4 | +31:31:10 |  1.91 | 0.64 |
| Dw1155+78         | 11:55:54.2 | +78:04:44 |  0.58 | 0.73 |
| NGC3990           | 11:57:35.6 | +55:27:31 |  1.69 | 0.57 |
| LV J1157+56sat    | 11:57:52.9 | +56:36:50 |  0.13 | 0.69 |
| LV J1157+5638     | 11:57:54.2 | +56:38:17 |  0.48 | 0.81 |
| LV J1158+1535     | 11:58:40.4 | +15:35:34 |  0.32 | 0.83 |
| BTS76             | 11:58:44.1 | +27:35:06 |  0.60 | 0.60 |
| ESO572-034        | 11:58:58.1 | -19:01:48 |  1.32 | 0.51 |
| Dw1159+5554       | 11:59:56.6 | +55:54:54 |  1.50 | 0.60 |
| Virgo I           | 12:00:09.6 | -00:40:48 |  3.00 | 0.56 |
| KUG 1157+315      | 12:00:16.2 | +31:13:30 |  0.83 | 0.48 |
| LV J1203+4739     | 12:03:00.0 | +47:39:15 |  0.94 | 0.46 |
| LV J1203+3257     | 12:03:10.9 | +32:57:22 |  0.97 | 0.38 |
| NGC4068           | 12:04:02.4 | +52:35:19 |  2.95 | 0.53 |
| NGC4080           | 12:04:51.8 | +26:59:33 |  1.58 | 0.44 |
| ESO379-024        | 12:04:56.7 | -35:44:35 |  0.74 | 0.75 |
| IC2992            | 12:05:15.9 | +30:51:20 |  0.83 | 0.83 |
| KUG 1202+286      | 12:05:23.3 | +28:21:56 |  0.89 | 0.57 |
| [KK98]121         | 12:05:24.5 | +43:42:28 |  0.86 | 0.79 |
| PGC4310323        | 12:05:31.0 | +31:04:34 |  0.37 | 0.71 |
| LV J1205+2813     | 12:05:34.2 | +28:13:56 |  0.69 | 0.79 |
| PGC4560429        | 12:06:33.5 | +30:37:16 |  0.31 | 0.55 |
| MAPS1206+31       | 12:06:34.5 | +31:20:33 |  0.71 | 0.93 |
| FASHI1206+45      | 12:06:44.6 | +45:29:38 |  0.31 | 0.70 |
| LV J1207+3133     | 12:07:50.0 | +31:33:08 |  0.64 | 0.82 |
| UGC07131          | 12:09:11.8 | +30:54:24 |  1.62 | 0.29 |
| NGC4136           | 12:09:17.7 | +29:55:39 |  3.98 | 0.92 |
| MCG +06-27-017    | 12:09:56.4 | +36:26:07 |  0.95 | 0.31 |
| NGC4144           | 12:09:59.3 | +46:27:26 |  6.17 | 0.21 |
| IC3023            | 12:10:01.7 | +14:22:01 |  1.10 | 0.71 |
| MADCASH-2         | 12:10:06.7 | +35:26:35 |  0.36 | 0.81 |
| FASHI1210+47      | 12:10:14.7 | +47:34:26 |  0.40 | 0.56 |
| N4258dwC          | 12:10:26.8 | +46:44:49 |  0.27 | 0.79 |
| NGC4150           | 12:10:33.6 | +30:24:06 |  2.19 | 0.69 |
| NGC4163           | 12:12:08.9 | +36:10:10 |  2.19 | 0.84 |
| [KK98] 125        | 12:12:41.9 | +68:55:38 |  0.87 | 0.52 |
| KK127             | 12:13:22.7 | +29:55:18 |  1.38 | 0.36 |
| NGC4190           | 12:13:44.6 | +36:38:00 |  2.14 | 0.88 |
| AGC732009         | 12:13:48.4 | +29:57:32 |  0.47 | 0.71 |
| ESO321-014        | 12:13:49.6 | -38:13:53 |  1.41 | 0.43 |
| UGC07242          | 12:14:07.4 | +66:05:32 |  1.23 | 0.42 |
| Dw1214+2101       | 12:14:18.2 | +21:01:08 |  0.30 | 0.67 |
| Dw1214+2945       | 12:14:26.6 | +29:45:50 |  1.02 | 0.45 |
| VCC0114           | 12:14:35.2 | +05:40:38 |  0.60 | 0.52 |
| Corvus A          | 12:14:45.6 | -16:23:49 |  0.76 | 0.70 |
| KDG090            | 12:14:57.9 | +36:13:08 |  1.55 | 0.87 |
| UGC7257           | 12:15:03.0 | +35:57:31 |  1.35 | 0.62 |
| NGC4204           | 12:15:14.4 | +20:39:31 |  4.47 | 0.81 |
| UGC07267          | 12:15:23.6 | +51:21:00 |  2.09 | 0.32 |
| Dw1215+2041       | 12:15:32.2 | +20:41:00 |  0.40 | 0.71 |
| UGC07271          | 12:15:33.4 | +43:26:03 |  2.40 | 0.34 |
| NGC4214           | 12:15:38.9 | +36:19:39 |  8.51 | 0.78 |
| MCG +09-20-131    | 12:15:46.7 | +52:23:15 |  1.05 | 0.30 |
| LV J1215+4732     | 12:15:51.1 | +47:32:56 |  0.43 | 0.85 |
| VCC0169           | 12:15:56.2 | +09:38:57 |  0.85 | 0.68 |
| IC3077            | 12:15:56.3 | +14:25:59 |  1.78 | 0.64 |
| M106edgeN4217     | 12:16:12.5 | +47:08:04 |  0.88 | 0.95 |
| UGC07298          | 12:16:28.6 | +52:13:38 |  0.85 | 0.55 |
| NGC4236           | 12:16:43.3 | +69:27:56 | 21.88 | 0.32 |
| LV J1217+4703     | 12:17:10.1 | +47:03:49 |  0.30 | 0.76 |
| UGC07320          | 12:17:28.5 | +44:48:41 |  1.20 | 0.44 |
| NGC4244           | 12:17:29.9 | +37:48:27 | 19.50 | 0.11 |
| NGC4242           | 12:17:30.2 | +45:37:10 |  5.50 | 0.76 |
| LV J1217+3231     | 12:17:32.0 | +32:31:57 |  0.66 | 0.62 |
| UGC7321           | 12:17:34.0 | +22:32:25 |  6.76 | 0.06 |
| KKH78             | 12:17:44.5 | +33:20:43 |  0.45 | 0.63 |
| NGC4248           | 12:17:49.9 | +47:24:33 |  3.31 | 0.43 |
| LV J1218+4655     | 12:18:11.1 | +46:55:01 |  0.91 | 0.28 |
| AGC229053         | 12:18:15.5 | +25:34:06 |  0.49 | 0.48 |
| KDG098            | 12:18:29.4 | +28:38:45 |  0.76 | 0.93 |
| PGC4555586        | 12:18:31.5 | +30:03:40 |  0.64 | 0.63 |
| IC3104            | 12:18:46.1 | -79:43:34 |  3.72 | 0.47 |
| BTS116            | 12:18:57.3 | +28:33:11 |  0.92 | 0.56 |
| NGC4258           | 12:18:57.5 | +47:18:14 | 18.62 | 0.39 |
| KK132             | 12:19:06.5 | +47:43:51 |  0.36 | 0.84 |
| KDG101            | 12:19:09.1 | +47:05:23 |  1.29 | 0.59 |
| PGC039646         | 12:19:15.6 | +06:17:38 |  0.94 | 0.67 |
| FASHI1219+46a     | 12:19:17.3 | +46:44:17 |  -99. | -99. |
| KK133             | 12:19:32.8 | +43:23:11 |  0.47 | 0.68 |
| KK134             | 12:19:33.8 | +47:27:06 |  0.37 | 0.94 |
| KK135             | 12:19:34.7 | +58:02:34 |  0.68 | 0.52 |
| d1219+4705        | 12:19:36.8 | +47:05:33 |  0.29 | 0.95 |
| IC 779            | 12:19:38.7 | +29:53:00 |  1.32 | 0.86 |
| PGC213976         | 12:19:43.6 | +29:39:32 |  0.52 | 0.68 |
| FASHI1219+46b     | 12:19:50.8 | +46:30:11 |  -99. | -99. |
| FASHI1219+46c     | 12:19:52.5 | +46:37:55 |  -99. | -99. |
| VCC0381           | 12:19:54.1 | +06:39:57 |  0.78 | 0.92 |
| PGC39764          | 12:20:06.8 | +29:16:51 |  4.20 | 0.92 |
| FASHI1220+40      | 12:20:10.9 | +40:52:41 |  0.49 | 0.62 |
| [KKH2011]S11      | 12:20:30.1 | +47:29:25 |  0.28 | 0.90 |
| NGC4288           | 12:20:38.1 | +46:17:30 |  2.34 | 0.71 |
| KK136             | 12:20:40.6 | +47:00:03 |  0.47 | 0.87 |
| CVnHI             | 12:20:43.4 | +46:12:33 |  -99. | -99. |
| VCC0429           | 12:20:43.9 | +14:37:52 |  0.65 | 0.59 |
| KUG 1218+387      | 12:20:54.9 | +38:25:49 |  1.17 | 0.71 |
| d1220+4649        | 12:20:55.0 | +46:49:45 |  0.25 | 0.83 |
| DDO120            | 12:21:15.0 | +45:48:41 |  2.40 | 0.62 |
| PGC1853813        | 12:21:16.6 | +29:02:21 |  0.48 | 0.75 |
| KDG104            | 12:21:27.9 | +15:01:28 |  0.81 | 0.67 |
| Hydra II          | 12:21:42.1 | -31:59:07 |  3.40 | 0.99 |
| KDG105            | 12:21:43.0 | +37:59:14 |  0.83 | 0.59 |
| SMDG1221+28       | 12:21:49.7 | +28:31:12 |  0.47 | 0.74 |
| UGC7427           | 12:21:55.0 | +35:03:05 |  1.07 | 0.61 |
| NGC4308           | 12:21:56.9 | +30:04:27 |  0.85 | 0.95 |
| KK138             | 12:21:58.4 | +28:14:34 |  0.42 | 0.58 |
| KKSG27            | 12:22:05.7 | -09:48:01 |  0.98 | 0.38 |
| GR34              | 12:22:07.6 | +15:47:57 |  0.93 | 0.82 |
| PGC4323538        | 12:22:16.7 | +30:53:24 |  0.43 | 0.87 |
| VCC0565           | 12:22:38.5 | +06:00:52 |  0.58 | 0.60 |
| KK141             | 12:22:52.7 | +33:49:43 |  0.40 | 0.77 |
| PGC40195          | 12:23:09.7 | +29:20:59 |  1.30 | 0.42 |
| IC3247            | 12:23:14.0 | +28:53:38 |  2.34 | 0.17 |
| BTS132            | 12:23:46.2 | +47:39:32 |  0.39 | 0.68 |
| BTS133            | 12:24:07.6 | +37:59:35 |  0.48 | 0.69 |
| PGC5059199        | 12:24:09.9 | +26:13:52 |  0.12 | 0.22 |
| N4258dwB          | 12:24:10.9 | +47:07:23 |  0.45 | 0.64 |
| UGC07485          | 12:24:22.2 | +21:09:36 |  1.07 | 0.68 |
| Dw1224+3938       | 12:24:34.6 | +39:38:10 |  0.48 | 0.77 |
| IC3308            | 12:25:17.9 | +26:42:53 |  1.55 | 0.26 |
| Virgo III         | 12:25:23.5 | +04:26:28 |  2.00 | 0.71 |
| KK144             | 12:25:27.9 | +28:28:57 |  1.12 | 0.44 |
| UGC07512          | 12:25:41.3 | +02:09:32 |  1.45 | 0.52 |
| AGC749236         | 12:25:42.4 | +26:48:36 |  0.62 | 0.51 |
| VCC0841           | 12:25:47.0 | +14:57:07 |  1.10 | 0.49 |
| NGC4395           | 12:25:49.8 | +33:32:46 | 13.18 | 0.83 |
| DDO123            | 12:26:08.1 | +58:19:21 |  2.78 | 0.79 |
| UGCA281           | 12:26:16.0 | +48:29:31 |  1.05 | 0.75 |
| IC3341            | 12:26:23.4 | +27:44:44 |  0.68 | 0.56 |
| SBS 1224+533      | 12:26:52.6 | +53:06:19 |  0.80 | 0.69 |
| ComaI             | 12:26:58.4 | +23:54:42 |  9.50 | 0.64 |
| DDO126            | 12:27:05.1 | +37:08:33 |  2.88 | 0.63 |
| DDO125            | 12:27:41.8 | +43:29:38 |  3.89 | 0.56 |
| UGC07584          | 12:28:02.9 | +22:35:22 |  0.91 | 0.50 |
| KKH80             | 12:28:05.4 | +22:17:27 |  0.85 | 0.69 |
| NGC4449           | 12:28:11.2 | +44:05:40 |  6.76 | 0.71 |
| DDO127            | 12:28:28.5 | +37:14:00 |  1.62 | 0.50 |
| UGC07596          | 12:28:33.9 | +08:38:23 |  1.58 | 0.43 |
| UGC07605          | 12:28:39.0 | +35:43:05 |  1.48 | 0.73 |
| NGC4455           | 12:28:44.1 | +22:49:21 |  3.24 | 0.29 |
| DDO129            | 12:28:44.2 | +43:13:27 |  2.82 | 0.89 |
| LV J1228+4358     | 12:28:44.9 | +43:58:18 |  3.98 | 0.27 |
| NGC4460           | 12:28:45.8 | +44:51:52 |  4.27 | 0.30 |
| KK149             | 12:28:52.3 | +42:10:40 |  0.93 | 0.63 |
| Dw1229+0144       | 12:29:22.1 | +01:44:17 |  1.11 | 0.68 |
| Dw1229+4109       | 12:29:43.2 | +41:09:43 |  0.29 | 0.60 |
| UGC07639          | 12:29:53.0 | +47:31:48 |  2.14 | 0.54 |
| UGC07636          | 12:30:01.0 | +07:55:46 |  0.89 | 0.81 |
| Plume             | 12:30:13.3 | +42:01:01 |  4.20 | 0.31 |
| UGC07642          | 12:30:13.8 | +02:37:30 |  0.95 | 0.64 |
| KK151             | 12:30:23.8 | +42:54:05 |  1.12 | 0.42 |
| NGC4485           | 12:30:31.2 | +41:42:00 |  2.34 | 0.70 |
| AGC229379         | 12:30:34.0 | +23:12:20 |  0.27 | 0.73 |
| NGC4490           | 12:30:36.4 | +41:38:37 |  6.31 | 0.49 |
| AGC724906         | 12:30:56.0 | +26:30:40 |  0.38 | 0.91 |
| CGCG 014-054      | 12:31:03.8 | +01:40:33 |  1.27 | 0.58 |
| FASHI1231+41      | 12:31:04.8 | +41:08:28 |  -99. | -99. |
| MAPS1231+42       | 12:31:09.0 | +42:05:39 |  0.33 | 0.68 |
| DDO131            | 12:31:58.6 | +29:42:35 |  1.15 | 0.76 |
| UGC07678          | 12:32:00.4 | +39:49:55 |  1.64 | 0.54 |
| Coma P            | 12:32:10.3 | +20:25:24 |  1.02 | 0.31 |
| UGC07690          | 12:32:26.9 | +42:42:15 |  2.09 | 0.79 |
| AGC229089         | 12:32:36.0 | +33:13:25 |  0.83 | 0.57 |
| dw1232+0015       | 12:32:36.2 | +00:15:43 |  0.21 | 0.88 |
| NGC4517           | 12:32:45.5 | +00:06:54 | 12.02 | 0.13 |
| UGC07699          | 12:32:48.0 | +37:37:18 |  3.98 | 0.27 |
| DDO133            | 12:32:53.0 | +31:32:21 |  3.55 | 0.69 |
| NGC4509           | 12:33:06.8 | +32:05:30 |  0.91 | 0.76 |
| BTS142            | 12:33:07.4 | +38:06:58 |  0.33 | 0.98 |
| KDG155            | 12:33:08.0 | -00:31:59 |  1.20 | 0.74 |
| FASHI1233+35      | 12:33:16.2 | +35:44:02 |  0.80 | 0.64 |
| KK152             | 12:33:24.9 | +33:21:05 |  1.07 | 0.43 |
| PGC041749         | 12:33:52.7 | +39:37:33 |  0.92 | 0.37 |
| UGC7719           | 12:34:00.6 | +39:01:10 |  2.14 | 0.29 |
| NGC4534           | 12:34:05.5 | +35:31:06 |  3.02 | 0.66 |
| Dw1234+76         | 12:34:23.3 | +76:43:34 |  0.96 | 0.58 |
| Dw1234+4116       | 12:34:38.2 | +41:16:34 |  0.54 | 0.81 |
| UGC07748          | 12:34:38.4 | +68:20:25 |  1.13 | 0.59 |
| dw1234-1142       | 12:34:49.0 | -11:42:25 |  0.54 | 0.84 |
| dw1234-1238       | 12:34:49.0 | -12:38:24 |  0.56 | 0.81 |
| KDG162            | 12:35:01.6 | +58:23:08 |  1.04 | 0.69 |
| UGC7751           | 12:35:11.8 | +41:03:39 |  1.21 | 0.34 |
| LV J1235-1104     | 12:35:39.4 | -11:04:02 |  0.43 | 0.90 |
| dw1235-1216       | 12:35:43.0 | -12:16:23 |  0.66 | 0.42 |
| dw1235-1155       | 12:35:52.0 | -11:55:52 |  0.33 | 0.90 |
| Dw1235-0215       | 12:35:53.0 | -02:15:54 |  0.64 | 0.82 |
| NGC4559           | 12:35:57.7 | +27:57:35 | 10.96 | 0.41 |
| Dw1235+7050       | 12:35:59.5 | +70:50:53 |  0.60 | 0.57 |
| UGC07774          | 12:36:22.5 | +40:00:19 |  3.16 | 0.16 |
| VCC1675           | 12:36:35.0 | +08:03:17 |  1.41 | 0.61 |
| dw1236-0025       | 12:36:42.0 | -00:25:52 |  0.26 | 0.68 |
| IC3583            | 12:36:43.5 | +13:15:34 |  2.88 | 0.52 |
| MAPS1236+33       | 12:36:49.4 | +33:36:48 |  0.56 | 0.43 |
| Dw1237+3304       | 12:37:02.2 | +33:04:59 |  0.50 | 0.60 |
| IC3591            | 12:37:03.0 | +06:55:36 |  1.29 | 0.60 |
| dw1237-1006       | 12:37:10.0 | -10:06:58 |  0.76 | 0.43 |
| dw1237-1125       | 12:37:11.6 | -11:25:59 |  0.30 | 1.00 |
| AGC220847         | 12:37:14.0 | +29:37:51 |  0.81 | 0.55 |
| KKSG29            | 12:37:14.1 | -10:29:51 |  1.41 | 0.43 |
| Arp211            | 12:37:21.3 | +38:44:43 |  0.85 | 0.57 |
| VCC1713           | 12:37:29.1 | +04:45:05 |  0.58 | 0.59 |
| KKSG30            | 12:37:35.9 | -08:52:02 |  0.87 | 0.50 |
| VCC1725           | 12:37:41.2 | +08:33:33 |  1.17 | 0.54 |
| dw1238+0028       | 12:38:14.2 | +00:28:37 |  0.41 | 0.67 |
| Dw1238+3337       | 12:38:18.0 | +33:37:59 |  0.60 | 0.92 |
| AGC724993         | 12:38:30.0 | +29:03:18 |  0.61 | 0.87 |
| FASHI1238+40      | 12:38:30.6 | +40:51:47 |  0.35 | 0.69 |
| KKSG31            | 12:38:33.7 | -10:29:25 |  0.79 | 0.88 |
| dw1238-1122       | 12:38:34.0 | -11:22:05 |  0.28 | 0.66 |
| UGCA292           | 12:38:40.0 | +32:46:00 |  1.02 | 0.70 |
| dw1238-1043       | 12:38:42.0 | -10:43:30 |  0.23 | 0.58 |
| dw1238-0035       | 12:38:49.2 | -00:35:53 |  0.21 | 0.78 |
| dw1238-0105       | 12:38:50.2 | -01:05:13 |  0.20 | 0.60 |
| dw1238-1102       | 12:38:58.3 | -11:02:10 |  0.19 | 0.67 |
| KDG171            | 12:39:02.4 | -00:39:54 |  1.15 | 0.62 |
| dw1239+3230       | 12:39:05.0 | +32:30:18 |  0.14 | 0.70 |
| dw1239-1227       | 12:39:09.0 | -12:27:14 |  0.25 | 0.88 |
| dw1239-1159       | 12:39:09.1 | -11:59:13 |  0.23 | 0.92 |
| Dw1239+2827       | 12:39:13.4 | +28:27:14 |  0.55 | 0.59 |
| N4594DW1          | 12:39:15.3 | -11:43:08 |  0.78 | 0.58 |
| NGC4592           | 12:39:18.7 | -00:31:55 |  4.50 | 0.22 |
| dw1239+3251       | 12:39:19.7 | +32:51:40 |  0.25 | 0.86 |
| dw1239-1154       | 12:39:22.0 | -11:54:25 |  0.28 | 0.95 |
| dw1239-1240       | 12:39:30.0 | -12:40:30 |  0.82 | 0.54 |
| N4594-DGSAT-3     | 12:39:32.8 | -11:13:38 |  0.55 | 0.82 |
| UGC07827          | 12:39:38.9 | +44:49:15 |  1.25 | 0.58 |
| dw1239-1026       | 12:39:51.0 | -10:26:17 |  0.36 | 0.57 |
| Sombrero DwA      | 12:39:51.5 | -11:20:29 |  0.22 | 0.95 |
| KKSG32            | 12:39:55.0 | -11:44:48 |  0.60 | 0.83 |
| KDG177            | 12:39:58.5 | +13:46:53 |  0.89 | 0.51 |
| NGC4594           | 12:39:59.1 | -11:37:23 | 11.75 | 0.51 |
| NGC4605           | 12:40:00.3 | +61:36:29 |  6.17 | 0.37 |
| AGC749241         | 12:40:01.7 | +26:19:19 |  0.34 | 0.84 |
| dw1240-42         | 12:40:02.0 | -42:24:44 |  0.53 | 0.65 |
| BTS146            | 12:40:02.1 | +38:00:02 |  0.34 | 0.55 |
| SUCD1             | 12:40:03.1 | -11:40:04 |  0.10 | 0.96 |
| KKSG33            | 12:40:08.9 | -12:21:53 |  0.50 | 0.99 |
| dw1240-1118       | 12:40:09.4 | -11:18:50 |  0.50 | 0.95 |
| KDG178            | 12:40:10.0 | +32:39:31 |  1.12 | 0.57 |
| VCC1822           | 12:40:10.4 | +06:50:49 |  0.83 | 0.53 |
| NGC4597           | 12:40:12.9 | -05:47:57 |  5.56 | 0.46 |
| dw1240-1140       | 12:40:17.6 | -11:40:46 |  0.20 | 0.99 |
| NGC4600           | 12:40:23.0 | +03:07:04 |  1.62 | 0.67 |
| PGC4074723        | 12:40:29.9 | +47:22:04 |  0.39 | 0.70 |
| Dw1240+3037       | 12:40:39.8 | +30:37:55 |  0.40 | 0.83 |
| HSC-9             | 12:40:53.0 | +32:16:56 |  0.46 | 0.59 |
| NGC 4631dw1       | 12:40:57.0 | +32:47:33 |  2.20 | 0.60 |
| Dw1241+4103       | 12:41:01.0 | +41:03:11 |  0.33 | 0.76 |
