objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
AM 0617-302,165457,AM 0617-302 NW,-99,14.267,GPair
AM 0644-665,299966,WISEA J064419.40-670044.2,-99,11.853,GPair
IRAS 08152-5912,96400,WISEA J081617.62-592128.2,-99,3.899,GPair
IRAS 08247-1952,96404,WISEA J082658.94-200159.0,-99,2.588,GPair
KUG 0831+438,24086,2MASX J08344755+4343373,-99,0.941,GPair
IRAS 08322-5826,96410,WISEA J083322.50-583643.5,-99,3.223,GPair
WISEA J084750.22+232109.9,2816630,2MASX J08475018+2321097,-99,0.760,GPair
IRAS 08511-6429,96425,WISEA J085200.34-644056.3,-99,0.745,GPair
IRAS 08544+2100,25163,2MASX J08572099+2048538,-99,2.829,GPair
AM 0905-274,90099,AM 0905-274 E,-99,67.059,GPair
GALEXASC J092052.91-302056.1,90103,WISEA J092053.01-302054.6,-99,5.987,GPair
WISEA J092206.01+211113.3,26515,SDSS J092205.95+211111.7,-99,1.180,GPair
IRAS 09516-7304,141833,WISEA J095216.08-731827.9,-99,1.407,GPair
IRAS 10222+1532,139340,WISEA J102458.03+151736.4,-99,10.917,GPair
IRAS 10421-7520,96488,WISEA J104320.40-753550.4,-99,13.737,GPair
2MASS J11135857-4659200,96501,WISEA J111357.32-465914.1,-99,10.942,GPair
ESO 440-IG 058,38429,ESO 440-IG 058 NED01,-99,8.266,GPair
AM 1226-291,157795,WISEA J122908.92-293200.0,-99,9.847,GPair
IRAS 13181-3128,88824,WISEA J132054.61-314433.3,-99,9.352,GPair
WISEA J142606.56+202830.8,140316,SDSS J142606.64+202831.5,5094534,1.110,GPair
IRAS 15168+0045,140502,WISEA J151924.18+003455.6,-99,3.590,GPair
IRAS 15281-7242,96568,WISEA J153336.42-725227.4,-99,9.956,GPair
KUG 1553+200,56411,KUG 1553+200 NED02,-99,1.519,GPair
IRAS 17044+6720,165716,WISEA J170428.44+671628.3,-99,4.406,GPair
IRAS 17132+5313,59896,2MASX J17142047+5310317,-99,5.571,GPair
IRAS 17377+2845,60654,2MASX J17394467+2843367,-99,2.342,GPair
2MASXi J1911103+450728,90321,2MASX J19110809+4507268,-99,3.065,GPair
Superantennae,84913,AM 1925-724 NED02,-99,1.977,GPair
IRAS 20414-1651,90371,WISEA J204418.16-164016.7,-99,0.589,GPair
IRAS 21478-3052,95317,WISEA J215045.60-303847.7,-99,12.032,GPair
AM 2201-230,134334,WISEA J220419.42-224733.2,-99,6.868,GPair
IRAS 22491-1808,69877,WISEA J225149.29-175223.8,-99,0.405,GPair
AM 2354-304,73028,AM 2354-304 NED02,-99,10.381,GPair
KUG 0015-008B,1203,KUG 0015-008B NED01,-99,2.919,GPair
SBS 0917+525,26467,SDSS J092112.56+521909.3,-99,0.323,GPair
KUG 1605+275,57239,KUG 1605+275 NED01,-99,1.143,GPair
2MASX J13000174+2743453,4538109,WISEA J130001.60+274345.3,-99,0.739,GPair
ESO 382- G 010,45432,ESO 382- G 010 NED01,-99,9.750,GPair
VII Zw 599,54853,WISEA J152223.11+663820.0,-99,113.518,GPair
VII Zw 880,63141,2MASX J19222651+6309393,-99,1.009,GPair
III Zw 015,3166445,III Zw 015 NOTES02,3180,1.120,GPair
IRAS 05497+1246,86283,WISEA J055238.39+124721.2,-99,12.100,GPair
NGC 3537,33752,NGC 3537 NED01,33753,6.869,GPair
IRAS 00150+4937,138154,WISEA J001744.68+495411.7,-99,1.780,GPair
2MASX J15210521+2925260,3844888,WISEA J152105.15+292526.0,-99,2.477,GPair
IRAS 03338+4108,97014,WISEA J033712.69+411819.3,-99,1.293,GPair
IRAS 04150+3528,138721,WISEA J041822.27+353524.6,-99,0.731,GPair
IRAS 04362+3100,97054,WISEA J043924.01+310635.8,-99,4.409,GPair
IRAS 04433+6020,166495,WISEA J044749.26+602529.5,-99,2.396,GPair
IRAS 05144+5553,90003,WISEA J051838.45+555644.6,-99,1.287,GPair
IRAS 05496+3811,97128,WISEA J055305.99+381230.6,-99,3.679,GPair
IRAS 05544+4443,97138,WISEA J055802.94+444409.0,-99,6.194,GPair
IRAS 06468+2000,97183,WISEA J064949.86+195633.8,-99,3.478,GPair
IRAS 07129-3524,96369,WISEA J071444.24-353003.4,-99,1.006,GPair
IRAS 07172-3451,90063,WISEA J071904.29-345734.0,-99,1.986,GPair
2MASXi J0727089+120900,97213,WISEA J072708.93+120900.2,-99,0.100,GPair
WISEA J072746.11+125644.6,97214,2MASX J07274591+1256478,97215,1.510,GPair
IRAS 07284-3554,141819,WISEA J073015.73-360033.3,-99,2.171,GPair
IRAS 07285-3437,96374,WISEA J073021.77-344335.4,-99,4.204,GPair
WISEA J073234.83+052939.7,97217,2MASX J07323493+0529406,-99,0.748,GPair
IRAS 07333-3558,96376,WISEA J073508.78-360549.4,-99,14.181,GPair
IRAS 07362-4530,96378,WISEA J073744.72-453727.9,-99,18.428,GPair
IRAS 07422-0233,96379,WISEA J074445.51-024110.3,-99,5.455,GPair
IRAS 07475-1106,96381,WISEA J074954.88-111347.4,-99,3.534,GPair
IRAS 07591-4659,96392,WISEA J080038.72-470805.5,-99,5.742,GPair
IRAS 08174-5100,141823,WISEA J081850.79-510958.0,-99,1.653,GPair
2MASS J08390398-3539391,101320,WISEA J083904.25-353936.5,-99,3.226,GPair
IRAS 08432-2847,96416,WISEA J084523.03-285815.5,-99,21.682,GPair
AM 0850-244,96423,6dF J0852165-245220,-99,1.203,GPair
IRAS 09167-6037,141829,WISEA J091800.30-604951.2,-99,0.590,GPair
IRAS 09477-4529,96455,WISEA J094941.53-454315.7,-99,4.755,GPair
IRAS 09055-3349,96435,WISEA J090734.76-340213.0,-99,16.471,GPair
IRAS 09182-3835,96442,WISEA J092012.10-384756.1,-99,2.165,GPair
WISEA J094516.95-445947.3,96453,WISEA J094517.19-445942.7,-99,3.594,GPair
IRAS 10047-4123,96468,WISEA J100651.21-413828.9,-99,4.957,GPair
IRAS 10361-4426,96485,WISEA J103817.62-444237.9,-99,1.395,GPair
IRAS 11003-4321,96496,WISEA J110241.63-433814.5,-99,2.702,GPair
IRAS 11218-4634,96506,WISEA J112414.98-465059.6,-99,10.329,GPair
IRAS 11443-5040,141850,WISEA J114650.56-505710.8,-99,9.412,GPair
WISEA J130237.66-522859.2,96535,2MASX J13023757-5228586,-99,1.306,GPair
IRAS 13195-4927,96539,WISEA J132231.17-494306.2,-99,1.120,GPair
IRAS 13454-4718,140221,WISEA J134836.44-473341.0,-99,1.348,GPair
IRAS 16084-3428,96582,WISEA J161142.84-343612.7,-99,1.200,GPair
IRAS 17164-1659,140769,WISEA J171917.81-170222.3,-99,35.788,GPair
IRAS 19402+0948,166630,WISEA J194235.41+095535.9,-99,1.973,GPair
IRAS 19481+0410,140861,2MASX J19504140+0418356,-99,1.378,GPair
AM 2357-252,133624,AM 2357-252 NED02,-99,6.363,GPair
AM 1101-322,90138,AM 1101-322 S,-99,0.966,GPair
AM 2309-311,135512,WISEA J231201.95-305436.6,-99,6.502,GPair
AM 0236-230,133886,WISEA J023818.26-225050.5,-99,2.876,GPair
AM 1333-254,170270,6dF J1335530-260042,-99,2.443,GPair
IRAS 07443-4442,96380,WISEA J074558.27-445026.1,-99,31.662,GPair
IRAS 08132-5309,96398,WISEA J081434.72-531902.7,-99,11.720,GPair
IRAS 08574-4006,96429,WISEA J085917.17-401834.0,-99,43.789,GPair
IRAS 10048-3921,96469,WISEA J100658.77-393609.2,-99,4.533,GPair
AM 1131-521,96509,WISEA J113309.85-524452.6,-99,0.090,GPair
IRAS 17240-5252,141870,WISEA J172806.36-525505.3,-99,5.807,GPair
2MASXi J0515167+221041,97084,WISEA J051516.72+221042.0,-99,0.331,GPair
IRAS 05421+4506,97117,WISEA J054548.36+450759.6,-99,5.352,GPair
KUG 1246+270,86433,WISEA J124846.85+264455.7,-99,6.838,GPair
IRAS 16400-2034,165693,WISEA J164302.72-204008.2,-99,0.754,GPair
GALEXASC J220925.62-355345.4,132491,WISEA J220925.64-355340.9,-99,2.769,GPair
NGC 7119,5067772,NGC 7119A,67325,9.347,GPair
PGC 043360,43360,WISEA J124932.72-412006.3,-99,2.263,GPair
LEDA 135742,135742,WISEA J101853.87+021438.9,-99,2.109,GPair
WISEA J125218.31+314803.6,3797596,SDSS J125218.36+314803.0,-99,0.636,GPair
WISEA J125411.69+344741.0,3798114,SDSS J125411.63+344741.7,-99,0.610,GPair
2MASX J13061578+2350144,5098761,WISEA J130615.86+235011.4,-99,2.377,GPair
2MASX J13320869+2621053,1772920,WISEA J133208.65+262105.7,-99,0.200,GPair
LCRS B105848.9-115409,114181,EA 01A,-99,0.373,GPair
LCRS B123022.1-024923,116807,LCRS B123022.1-024923 NED01,-99,3.098,GPair
CGMW 3-3719,203914,WISEA J192046.24-135509.4,-99,4.233,GPair
IRAS 19501-0245,140864,WISEA J195247.01-023731.7,-99,4.171,GPair
IRAS 18113+1055,166530,WISEA J181341.36+105614.3,-99,3.092,GPair
GALEXASC J192832.03+442951.5,166613,WISEA J192832.28+442950.3,-99,0.610,GPair
2dFGRS N250Z089,3293814,SDSS J122937.38-005123.0,-99,0.717,GPair
WISEA J122358.84+005622.8,1179696,2MASS J12235894+0056230,5911910,0.741,GPair
WISEA J141212.39+000017.2,3302048,SDSS J141212.24+000016.1,5911771,0.294,GPair
2dFGRS N347Z110,3305332,SDSS J143944.51+002451.9,5896660,0.271,GPair
UGC 01829,200202,UGC 01829 NED02,-99,9.808,GPair
2MASX J01354896-1012315,138412,2MASX J01354896-1012315 NED01,-99,0.659,GPair
WISEA J152940.58+323353.3,3565720,2MASX J15294059+3233544 NED01,-99,0.738,GPair
WISEA J095643.77-095543.3,984644,2MASX J09564381-0955426 NED02,-99,0.382,GPair
APMUKS(BJ) B221801.61-02593 ID,4602597,WISEA J222037.01-024426.6,-99,3.442,GPair
2MASX J14352068+1858426,3829442,SDSS J143520.72+185841.5,-99,0.294,GPair
WISEA J171730.46+265245.9,1791114,2MASS J17173044+2652457,-99,0.731,GPair
IC 1821,9898,IC 1821 NED01,-99,10.273,GPair
2MASX J11401003+1210104,3993709,SDSS J114010.05+121011.0,-99,1.015,GPair
WISEA J111623.11+532413.3,2440125,SDSS J111623.17+532413.3,-99,0.655,GPair
3C 326,1615975,WISEA J155209.19+200523.1,-99,12.458,GPair
WISEA J010747.58+004514.5,3610227,SDSS J010747.65+004515.0,-99,1.956,GPair
NGC 3068,28815,NGC 3068 NED02,-99,17.893,GPair
CGCG 219-024,49409,CGCG 219-024 NED01,-99,9.244,GPair
UGC 04874,26104,SDSS J091515.64+483953.5,-99,11.466,GPair
KUG 1112+368,87003,WISEA J111509.91+363505.0,-99,4.319,GPair
CGCG 017-038,48096,CGCG 017-038 NED01,-99,38.397,GPair
CGCG 018-092,50881,CGCG 018-092 NED01,-99,13.428,GPair
CGCG 207-055,23306,KUG 0815+409,-99,67.287,GPair
CGCG 432-010,71867,CGCG 432-010 NED02,-99,8.079,GPair
KUG 1048+324,32509,2MASX J10505311+3211470,-99,1.012,GPair
CGCG 137-031,57021,CGCG 137-031 NED02,-99,25.824,GPair
VIII Zw 186,40370,VIII Zw 186 NOTES02,-99,4.324,GPair
KUG 1052+328,32835,SDSS J105536.54+323726.8,-99,0.894,GPair
NGC 4842,44337,NGC 4842A,-99,14.731,GPair
NGC 5526,50832,NGC 5526 NED02,-99,15.473,GPair
IRAS 17038+6038,100026,WISEA J170437.71+603506.6,-99,4.352,GPair
IRAS 14418+6131A,84278,WISEA J144308.21+611914.7,-99,22.224,GPair
CGCG 049-177,55232,CGCG 049-177 NED01,-99,2.921,GPair
NGC 5625,51592,NGC 5625 NED02,-99,9.671,GPair
CGCG 095-055,32665,2MASX J10525072+1659070,-99,0.502,GPair
IRAS 12112+0305,39024,SDSS J121346.07+024841.4,-99,3.185,GPair
MCG -01-29-017,35075,MCG -01-29-017 NED02,-99,0.358,GPair
PKS 1118+000,1148823,WISEA J112119.43-001316.5,-99,14.302,GPair
CGCG 046-008,49544,WISEA J135609.70+053914.1,-99,4.730,GPair
AM 0016-614,1252,WISEA J001905.93-612349.4,-99,0.809,GPair
CGCG 046-064,50775,CGCG 046-064 NED02,-99,13.768,GPair
NGC 1796B,16787,NGC 1796B NED01,-99,9.683,GPair
LCSB S2788P,195285,WISEA J231605.09-022403.8,-99,3.203,GPair
CGCG 299-048,59505,CGCG 299-048 NED02,-99,25.632,GPair
CGCG 044-003,45409,CGCG 044-003 NED01,-99,7.260,GPair
MCG -03-09-008,875335,MCG -03-09-008 NED02,-99,5.814,GPair
AM 0419-480,3080614,2MASX J04204916-4755316,-99,0.731,GPair
UGC 10464,58256,UGC 10464 NED01,-99,17.254,GPair
ESO 250-IG 015,14737,WISEA J041515.67-453519.7,-99,5.341,GPair
APMUKS(BJ) B025038.24-38181 ID,613093,6dF J0252362-380558,-99,0.871,GPair
CGCG 425-027,65804,CGCG 425-027 NED02,-99,9.303,GPair
CGCG 033-018,24990,CGCG 033-018 NED01,-99,6.667,GPair
NGC 5331,49264,SDSS J135215.63+020609.8,-99,8.805,GPair
CGCG 008-032,29225,CGCG 008-032 NED01,-99,4.401,GPair
CGCG 035-052,28029,CGCG 035-052 NED01,-99,27.622,GPair
ESO 304-IG 029,16313,ESO 304-IG 029 NED01,-99,5.098,GPair
CGCG 039-174,35093,CGCG 039-174 NED02,-99,10.708,GPair
KUG 1131+226,3098521,WISEA J113340.11+222318.4,-99,3.061,GPair
CGCG 254-030,61709,CGCG 254-030 NED01,-99,6.707,GPair
AM 0032-255,101132,AM 0032-255 NED02,-99,7.025,GPair
IC 3367,40812,IC 3367 NED01,-99,24.418,GPair
UM 623,49717,CGCG 018-011 NED01,-99,3.069,GPair
CGCG 018-089,50863,CGCG 018-089 NED02,-99,21.224,GPair
CGCG 052-020,58175,CGCG 052-020S,-99,27.505,GPair
CGCG 009-061,30942,CGCG 009-061A,-99,31.034,GPair
ESO 200-IG 006,12455,ESO 200-IG 006 NED01,-99,15.743,GPair
CGCG 020-051,53748,CGCG 020-051 NED01,-99,3.768,GPair
PKS 2253-465,194509,2MASX J22564196-4617345,-99,1.155,GPair
CGCG 339-006,58240,CGCG 339-006 NED01,-99,2.908,GPair
IC 2873,35406,IC 2873 NED02,-99,7.194,GPair
UGC 09804,54598,UGC 09804 NED01,-99,4.843,GPair
VV 816,56229,VV 816a,-99,11.217,GPair
MRK 1343,45592,CGCG 044-011 NED01,-99,1.074,GPair
CGCG 012-059,36277,CGCG 012-059 NED01,-99,11.029,GPair
CGCG 044-090,47453,CGCG 044-090 NED01,-99,7.071,GPair
KUG 1454+513,84395,WISEA J145610.44+510909.8,-99,0.505,GPair
VPCX 24,41190,SDSS J122940.27+121743.4,-99,1.534,GPair
IC 0590,29316,IC 0590 NED01,-99,6.131,GPair
KUG 0944+306B,28133,KUG 0944+306B NED02,-99,0.974,GPair
KUG 1315+341,46328,2MASX J13180407+3351178,-99,0.289,GPair
2MFGC 16892,1131621,WISEA J222517.09-005432.9,-99,4.734,GPair
CGCG 224-034,58215,CGCG 224-034 NED02,-99,17.372,GPair
KUG 0932+596,27334,VII Zw 285,-99,0.588,GPair
CGCG 076-055,52871,KUG 1445+093,-99,35.518,GPair
CGCG 097-143,36694,CGCG 097-143 NED01,-99,18.960,GPair
CGCG 119-089,23620,WISEA J082506.82+255402.7,-99,6.613,GPair
IRAS 01535+2630,1787476,WISEA J015622.25+264535.3,-99,18.098,GPair
NGC 2429,21664,NGC 2429A,-99,24.920,GPair
MCG +10-11-060,21150,MCG +10-11-060 NED02,-99,7.549,GPair
NGC 1540,14733,NGC 1540A,14734,16.021,GPair
ESO 144-IG 021,66442,ESO 144-IG 021 NED02,-99,24.789,GPair
CGCG 277-022,59518,CGCG 277-022 NED01,-99,22.054,GPair
I Zw 208,62010,WISEA J183239.90+543158.1,-99,0.728,GPair
NGC 5514,50809,NGC 5514 NED01,-99,3.511,GPair
CGCG 012-009,35591,CGCG 1129.8-0150 NED01,-99,1.362,GPair
CGCG 262-021,21643,KUG 0739+551,-99,25.775,GPair
CGCG 049-118,54660,CGCG 049-118 NED02,-99,15.334,GPair
UGC 07230,39014,SDSS J121337.65+160710.2,-99,19.237,GPair
KUG 1609+322,57457,CGCG 167-040 NED01,-99,9.398,GPair
WISEA J043513.83-464352.7,511433,WISEA J043513.87-464347.5,-99,3.200,GPair
ESO 247- G 002,9956,WISEA J023738.46-422809.2,-99,5.758,GPair
UGC 00701,4033,UGC 00701 NED02,-99,14.906,GPair
APMBGC 156+040-096,128687,WISEA J034716.50-530901.3,-99,2.231,GPair
ESO 119-IG 027,16532,WISEA J050034.19-620420.9,-99,31.384,GPair
CGCG 457-021,2189,WISEA J003643.12+213627.3,-99,0.167,GPair
VV 719,49387,2MASX J13535948+1709259,-99,3.031,GPair
IC 1817,9757,IC 1817 NED01,-99,8.187,GPair
MCG +10-19-021,45285,MCG +10-19-021 NED02,-99,7.145,GPair
KUG 0239-042,10223,WISEA J024158.25-040324.6,-99,3.568,GPair
NGC 1646,15914,NGC 1646 NED01,-99,5.722,GPair
APMBGC 411+004-028,95291,WISEA J004807.05-291828.3,-99,5.326,GPair
CGPG 0200.3+2046,7811,III Zw 040 NOTES01,-99,3.905,GPair
UM 185,72654,UM 185E,-99,4.334,GPair
MCG -03-13-024,16310,MCG -03-13-024 NED01,-99,5.170,GPair
V Zw 241,9311,V Zw 241 NED01,-99,3.125,GPair
VV 659,27536,WISEA J093920.97+233426.9,-99,6.051,GPair
MCG +01-29-001,33690,MCG +01-29-001 NED02,-99,4.973,GPair
CGCG 111-020,60072,WISEA J171921.89+195729.5,-99,30.701,GPair
UGC 06770,36810,UGC 06770b,-99,15.859,GPair
UGC 00339,2061,UGC 00339 NED01,3099123,1.183,GPair
UGC 00339 NED01,3099123,UGC 00339 NED02,-99,8.386,G
GALEXASC J011144.18-153256.6,4287,2MASS J01114421-1532587,-99,3.450,GPair
CGCG 255-011,62304,WISEA J184254.98+503946.7,-99,5.636,GPair
CGCG 166-045,55894,CGCG 166-045 NED01,-99,11.917,GPair
CGCG 300-072,60870,2MASX J17474746+6140153,-99,2.910,GPair
CGCG 018-113,51088,CGCG 018-113 NED02,-99,2.629,GPair
CGCG 135-044,54686,CGCG 135-044 NED01,-99,0.360,GPair
NGC 6041,56962,NGC 6041A,-99,10.879,GPair
CGCG 017-018,47695,CGCG 017-018 NED02,-99,10.479,GPair
UGC 04881,26132,UGC 04881 NED01,-99,5.373,GPair
CGCG 043-009,42815,WISEA J124335.69+072624.8,-99,15.930,GPair
CGCG 149-013,23294,CGCG 149-013 NED01,-99,28.407,GPair
CGCG 105-008,52577,CGCG 105-008 NED01,-99,26.706,GPair
CGCG 094-014,30347,MCG +03-27-005,-99,104.208,GPair
KUG 0818+423B,23458,KUG 0818+423B NED02,-99,0.947,GPair
CGCG 106-017,54144,WISEA J151030.04+174604.6,-99,4.700,GPair
CGCG 037-106,31731,CGCG 037-106 NED01,-99,8.032,GPair
UGC 06293,34399,UGC 06293 NED02,-99,22.172,GPair
KUG 1026+335,30882,KUG 1026+335 NED01,-99,3.024,GPair
VV 063,26744,VV 063a,-99,9.642,GPair
CGCG 080-022,58016,CGCG 080-022 NED02,-99,55.557,GPair
IC 0298,11890,IC 0298 NED02,-99,10.392,GPair
ESO 541-IG 026,4374,ESO 541-IG 026 NED02,-99,16.228,GPair
ESO 359-IG 014,14359,ESO 359-IG 014 NED02,-99,24.652,GPair
ESO 251- G 001,15156,ESO 251- G 001 NED01,-99,19.242,GPair
CGCG 233-026,19440,CGCG 233-026 NED01,-99,25.538,GPair
UGC 10828,60191,UGC 10828 NED01,-99,18.833,GPair
VII Zw 526,49094,WISEA J135005.06+701605.6,-99,1.603,GPair
CGCG 214-011,35456,CGCG 214-011 NED02,-99,14.004,GPair
CGCG 035-059,28171,CGCG 035-059 NED02,-99,18.102,GPair
KUG 1131+315,35703,WISEA J113343.28+311446.1,-99,0.948,GPair
VIII Zw 363,50349,VIII Zw 363 NED02,-99,35.608,GPair
IV Zw 049,5648,IV Zw 049 NOTES01,-99,3.086,GPair
APMUKS(BJ) B035915.10-270118.5,762710,WISEA J040119.12-265254.5,-99,2.173,GPair
CGCG 280-005,62494,WISEA J185056.96+554536.6,-99,1.012,GPair
UGC 06081,33161,UGC 06081 NED02,-99,1.593,GPair
CGCG 018-079,50747,CGCG 018-079 NED01,-99,2.159,GPair
2dFGRS S210Z016,3316,WISEA J005602.67-273028.0,-99,1.390,GPair
CGCG 051-042,57163,CGCG 051-042 NED01,-99,81.341,GPair
ESO 302-IG 028,14329,ESO 302-IG 028 NED02,-99,6.643,GPair
MCG +04-03-007,2888,VV 521 NED02,-99,52.253,GPair
ARP 088,4728,2MASX J01190524+1228240,-99,0.585,GPair
CGCG 059-010,22385,2MASX J07592061+0859483,-99,2.629,GPair
ESO 204-IG 024,17528,ESO 204-IG 024 NED01,-99,1.299,GPair
UGC 06578,35915,UGC 06578 NED02,-99,3.003,GPair
ESO 355-IG 013,9052,ESO 355-IG 013 NED01,-99,10.765,GPair
CGCG 149-046,23963,KUG 0829+305B,-99,14.565,GPair
CGCG 379-009,69873,CGCG 379-009 NED01,-99,1.972,GPair
CGCG 411-030,4887,CGCG 0118.5+0601 NED02,-99,12.080,GPair
IRAS 05477-3018,90028,WISEA J054944.11-301757.5,-99,53.676,GPair
CGCG 411-045,5104,WISEA J012349.75+074709.6,-99,5.737,GPair
VII Zw 601,54756,VII Zw 601 NED01,-99,4.633,GPair
MCG -02-12-047,15653,2MASX J04370603-0945183,-99,1.108,GPair
CGCG 043-140,45275,CGCG 043-140 NED01,-99,4.632,GPair
APMUKS(BJ) B033711.58-03523 ID,1067783,WISEA J033941.85-034254.3,-99,4.242,GPair
UGC 11698,66333,UGC 11698 NED01,-99,13.425,GPair
UGC 03141,15873,UGC 03141 NED01,-99,6.891,GPair
SBS 0755+588,22434,2MASX J08000805+5842412,-99,1.203,GPair
CGCG 077-091,54879,CGCG 077-091 NED02,-99,15.591,GPair
CGCG 092-048,28041,CGCG 092-048 NED01,-99,8.224,GPair
WISEA J153911.57+530754.6,2432605,SDSS J153911.69+530754.3,-99,0.721,GPair
MCG +09-20-076,38105,MCG +09-20-076 NED02,-99,6.647,GPair
HARO 31,42499,HARO 31 NED01,-99,20.713,GPair
NGC 6089,57491,NGC 6089 NED01,-99,8.820,GPair
CGCG 074-006,49488,2MASX J13551755+0900044,-99,2.586,GPair
NGC 4453,41072,NGC 4453 NED01,-99,17.084,GPair
VIII Zw 061,29308,CGCG 008-036 NED02,-99,5.606,GPair
KUG 1406+094,50465,CGCG 074-118 NED02,-99,9.369,GPair
CGCG 207-009,22337,2MASX J07581448+4216086,-99,3.513,GPair
VV 627,33205,VV 627 NED02,-99,5.796,GPair
UGC 03906,21381,UGC 03906 NED01,-99,14.659,GPair
MCG -01-10-010,13329,6dF J0336395-074632,-99,3.012,GPair
CGCG 268-067,36124,CGCG 268-067 NED02,-99,15.766,GPair
MCG +09-12-014,19940,MCG +09-12-014 NED02,-99,2.178,GPair
CGCG 091-070,26355,CGCG 091-070 NED01,-99,7.324,GPair
CGCG 121-087,26726,CGCG 121-087 NED01,-99,14.578,GPair
CGCG 453-028,70055,CGCG 453-028 NED01,-99,10.906,GPair
KUG 2330+125,71717,WISEA J233302.30+124940.2,-99,3.106,GPair
CGCG 014-050,41140,CGCG 014-050 NED01,-99,18.524,GPair
I Zw 160,58543,I Zw 160 NED02,-99,2.601,GPair
NGC 6080,57509,NGC 6080 NED01,3861620,9.733,GPair
AM 0426-430,130382,WISEA J042825.72-430225.9,-99,5.548,GPair
LCRS B025915.4-443521,110721,[GVd92] 025915.5-443521,-99,3.114,GPair
ESO 154-IG 015,10511,ESO 154-IG 015 NED02,-99,6.549,GPair
NGC 0997,9932,NGC 0997 NED02,-99,7.985,GPair
CGCG 021-004,53972,WISEA J150653.90-002124.8,-99,4.432,GPair
IRAS 15161+2403,1695297,2MASX J15181960+2352269,-99,8.236,GPair
ESO 205- G 027,18514,WISEA J060939.20-473721.5,-99,3.752,GPair
ESO 157-IG 024,14983,ESO 157-IG 024 NED02,-99,2.955,GPair
CGCG 382-033,838,2MASX J00121013+0147047,-99,23.971,GPair
CGCG 156-045,34400,MRK 0037,-99,17.602,GPair
NGC 5256,48192,NGC 5256 NED02,-99,4.970,GPair
NGC 3690,35321,NGC 3690 NED02,-99,10.544,GPair
MCG +05-31-128,45316,2MASX J13055076+3054171,-99,1.819,GPair
CGCG 241-060,33274,CGCG 241-060 NED01,-99,8.664,GPair
2MFGC 12921,57064,ABELL 2151:[MGT95] 102,-99,0.400,GPair
ESO 153-IG 004,7447,ESO 153-IG 004 NED02,-99,38.436,GPair
AM 0251-374,95145,WISEA J025336.05-373101.9,-99,0.485,GPair
III Zw 027,5136,2MASS J01240886+1402053,-99,4.496,GPair
KUG 2349+268,200175,2MASX J23522786+2708384,-99,18.089,GPair
ESO 249-IG 029,14094,ESO 249-IG 029 NED01,-99,7.999,GPair
VII Zw 870,63008,WISEA J191702.45+641800.5,-99,36.759,GPair
CGCG 151-055,26324,CGCG 151-055 NED02,-99,18.323,GPair
LCRS B031911.0-415509,88112,APMBGC 301+087+099 NED02,-99,0.000,GPair
AM 0540-240,90024,6dF J0543022-240351,-99,15.985,GPair
CGCG 106-016,54133,CGCG 106-016 NED01,-99,13.048,GPair
MCG +10-15-033,29741,2MASX J10123145+5813290,-99,0.927,GPair
MCG +09-19-197,36844,MCG +09-19-197 NED02,-99,10.249,GPair
CGCG 047-031,51432,CGCG 047-031 NED01,-99,21.597,GPair
KUG 1613+274,57613,KUG 1613+274 NED02,-99,2.402,GPair
KUG 1236+254,42279,VIII Zw 200 NED02,-99,5.580,GPair
MCG +06-36-030,57853,MCG +06-36-030 NED01,-99,2.562,GPair
NGC 5860,53939,NGC 5860 NED01,-99,4.166,GPair
CGCG 109-032,58513,CGCG 109-032 NED02,-99,16.571,GPair
KUG 0239-087,10239,2MASX J02421325-0829320,-99,3.081,GPair
CGCG 236-015,22254,CGCG 236-015 NED01,-99,29.698,GPair
KUG 0842+400,24637,2MASX J08460409+3949474,-99,1.734,GPair
CGCG 243-020,37148,CGCG 243-020 NED01,-99,8.164,GPair
CGCG 249-018,54763,CGCG 249-018 NED01,-99,6.700,GPair
NGC 3406,32580,NGC 3406 NED01,-99,8.108,GPair
B2 0908+37,25924,SDSS J091153.60+372413.3,-99,5.056,GPair
MCG -01-11-007,14649,MCG -01-11-007 NED02,-99,6.858,GPair
MCG +01-23-010,25186,MCG +01-23-010 NED02,-99,0.129,GPair
ESO 202-IG 005,470497,WISEA J041800.89-500238.7,-99,7.744,GPair
CGCG 052-042,58506,CGCG 052-042 NED02,-99,7.765,GPair
ESO 202-IG 006,14828,ESO 202-IG 006 NED01,-99,7.648,GPair
CGCG 039-088,34265,CGCG 039-088 NED02,-99,30.879,GPair
WISEA J102142.74+130655.3,90120,2MASS J10214273+1306556,-99,2.932,GPair
II Zw 093,65456,WISEA J204918.57+082635.2,-99,1.281,GPair
MCG -04-13-001,16730,MCG -04-13-001 NED01,-99,6.733,GPair
2MASXi J0240270-263444,766365,WISEA J024026.98-263444.1,-99,0.329,GPair
UGC 02691,12539,UGC 02691 NED01,-99,17.007,GPair
UGC 09425,52283,UGC 09425 NED02,-99,6.615,GPair
CGCG 018-046,50264,WISEA J140531.44-012202.3,-99,3.805,GPair
CGCG 015-041,44079,CGCG 015-041 NED02,-99,17.209,GPair
UGC 00599,3451,UGC 00599 NED02,-99,13.023,GPair
KUG 2241+040,69625,KUG 2241+040 NED02,-99,4.414,GPair
ESO 151-IG 014,3439,WISEA J005738.66-563531.7,-99,27.475,GPair
ARP 139,45463,ARP 139 NED02,-99,8.243,GPair
