objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
UGC 10273,57494,UGC 10273 NED01,-99,0.000,GTrpl
VIII Zw 405,51353,VIII Zw 405 NED03,6686316,2.485,GTrpl
VIII Zw 405 NED03,6686316,VIII Zw 405 NED01,4540221,9.062,G
IRAS 06273+6858,97520,WISEA J063250.69+685602.9,-99,1.622,GTrpl
CGCG 048-073,53416,CGCG 048-073 NED01,-99,21.308,GTrpl
IRAS 15205+5021,84569,SDSS J152201.59+501028.6,-99,6.287,GTrpl
CGCG 128-031,38437,KUG 1204+259,-99,1.080,GTrpl
UGC 05370 NOTES01,135736,WISEA J095939.53+003512.2,-99,2.814,GTrpl
ESO 481- G 015,12106,ESO 481- G 015 NED01,-99,18.313,GTrpl
AM 2336-580,128337,AM 2336-580 NED01,-99,64.481,GTrpl
ESO 292-IG 010,72081,ESO 292-IG 010 NED01,-99,5.560,GTrpl
NGC 5910,54689,NGC 5910 NED02,-99,6.720,GTrpl
KUG 2340+042A,72206,CGCG 407-046 NED01,-99,19.388,GTrpl
KUG 1359+126,49963,2MASX J14015671+1222498,-99,0.311,GTrpl
VV 683,8724,VV 683 NED01,-99,13.161,GTrpl
GALEXASC J064022.61+362036.1,97175,WISEA J064022.54+362037.0,-99,0.696,GTrpl
CGCG 300-088,60989,WISEA J175103.99+624915.6,-99,29.315,GTrpl
DUKST 473-042,133667,2MASX J00204314-2542284,-99,2.620,GTrpl
CGCG 165-032,54341,CGCG 165-032 NED01,-99,7.063,GTrpl
CGCG 039-073,34151,CGCG 039-073 NED02,-99,2.961,GTrpl
2MFGC 06506,1541360,WISEA J081300.34+174633.7,-99,0.115,GTrpl
UGC 10987,60887,WISEA J174818.35+175650.4,-99,14.706,GTrpl
VIII Zw 411,51430,VIII Zw 411 NED02,-99,3.237,GTrpl
NGC 4054,38078,NGC 4054 NED01,4608684,6.299,GTrpl
CGCG 167-050,57496,2MASS J16125850+3053392,-99,96.961,GTrpl
