# Object-level update of coordinates and other galaxy properties based on VI
# (visual inspections). A value of -99 means that property should not be
# updated.
#
objname,ra,dec,diam,pa,ba,comment
WISEA J023239.82+211210.0,-99.,-99.,1.0,15.0,0.2,Larger and better geometry
2MASX J08332375-0750189,-99.,-99.,1.1,-99.,-99.,Larger
WISEA J043319.19-631101.6,-99.,-99.,1.1,-99.,-99.,Larger
UGC 11671 NED02,-99.,-99.,1.3,135.0,-99.0,Larger and better geometry
UGC 11671 NED01,-99.,-99.,0.9,15.0,-99.0,Larger and better geometry
CGCG 190-047,-99.,-99.,1.1,-99.,-99.,Larger
SDSS J112924.40+222401.4,-99.,-99.,1.1,-99.,-99.,Larger
WISEA J000350.57+333920.5,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000320.30+323043.9,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000258.65+202311.3,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000217.60+085716.9,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000221.31+340406.3,-99.,-99.,0.7,-99.,-99.,Larger
FAIRALL 0624,-99.,-99.,1.0,-99.,-99.,Larger
WISEA J000046.46-465728.9,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000251.23+094206.5,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000341.70+102052.2,-99.,-99.,0.9,-99.,-99.,Larger
WISEA J000138.85+222143.8,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000333.47+033647.5,-99.,-99.,0.9,-99.,-99.,Larger
WISEA J000216.04-031401.5,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J000244.50-295440.3,-99.,-99.,0.8,-99.,-99.,Larger
WISEA J000332.28-802138.3,-99.,-99.,0.7,-99.,-99.,Larger
CGCG 093-035,-99.,-99.,0.8,-99.,-99.,Larger
WISEA J074328.09+510352.7,-99.,-99.,0.7,-99.,-99.,Larger
AM 1953-553 NED01,-99.,-99.,0.9,0.0,1.0,Larger and better geometry
WISEA J223430.64-470305.3,-99.,-99.,0.7,-99.,-99.,Larger
APMBGC 235+059-099,314.1934,-48.0884,-99.0,15.0,-99.0,Better coordinates and PA
PGC 711419,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J012444.86-735323.8,-99.,-99.,0.6,-99.,-99.,Larger
LCRS B221542.3-390904,-99.,-99.,1.8,160.0,0.7,Larger and better geometry
LCRS B210253.3-385829,-99.,-99.,0.7,-99.,-99.,Larger
LCRS B210245.5-385807,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J203050.47-353242.3,-99.,-99.,1.2,-99.,-99.,Larger
WISEA J222032.58-350948.3,-99.,-99.,1.0,-99.,-99.,Larger
WISEA J201451.73-243022.6,-99.,-99.,1.0,-99.,-99.,Larger
WISEA J170219.34-010304.8,-99.,-99.,1.0,-99.,-99.,Larger
WISEA J210209.84-243200.6,-99.,-99.,1.0,-99.,-99.,Larger
IC 5358,-99.,-99.,3.5,-99.,-99.,Larger
WISEA J204811.66-174903.8,-99.,-99.,1.0,-99.,-99.,Larger
2MASS J00025806-3547517,0.74195833,-35.7976944,0.7,0.0,1.0,
2MASX J20420438-3513067,310.51824999999997,-35.21852777777778,1.4,140.0,0.96,
CGCG 409-020 NED01,7.576249999,6.9677500,0.5,70.0,0.80,
CGCG 409-020 NED02,7.576791666,6.9605555,0.3,50.0,0.72,
WISEA J000141.58-435140.3,0.423541666,-43.86138888,0.7,0.0,0.619,
WISEA J000216.18+082743.0,0.56733333,8.4619166666,0.7,80.0,0.58,
WISEA J000245.47-295850.1,0.689458,-29.98066666,0.5,175.0,0.7,
WISEA J000300.85-372111.8,0.753625,-37.353333,0.7,170.0,0.78,
WISEA J000302.87-372059.9,0.762,-37.35,0.7,0.0,1.0,
WISEA J222028.78-350834.3,335.11991666666665,-35.14286111111111,1.0,110.0,0.82,
