# Object-level actions based on VI (visual inspections).
objname,action,reason,comment
SDSS J131034.67+453929.7,drop,faint shred or compact,
SDSS J131120.15+482815.0,drop,faint shred or compact,
SDSS J131130.88+591606.3,drop,faint shred or compact,
SDSS J131300.04+431223.5,drop,faint shred or compact,
SDSS J131303.68+463302.7,drop,faint shred or compact,
SDSS J131303.98+463248.5,drop,faint shred or compact,
2MASS J13133294+3002007,drop,faint shred or compact,
SDSS J131333.85+300149.9,drop,faint shred or compact,
SDSS J131439.62+305709.3,drop,faint shred or compact,
SDSS J131507.24+623127.7,drop,faint shred or compact,
SDSS J131508.60+623127.1,drop,faint shred or compact,
SDSS J131510.06+605334.6,drop,faint shred or compact,
SDSS J131510.26+605345.9,drop,faint shred or compact,
SDSS J131718.09+472032.1,drop,faint shred or compact,
SDSS J131935.92+533000.9,drop,faint shred or compact,
SDSS J131945.60+481235.8,drop,faint shred or compact,
SDSS J132053.94+321120.8,drop,faint shred or compact,
SDSS J132106.91+412853.8,drop,faint shred or compact,
2MASS J13224042+3253162,drop,faint shred or compact,
SDSS J132333.46+401353.7,drop,faint shred or compact,
SDSS J132645.13+553001.4,drop,faint shred or compact,
SDSS J132746.50+464743.1,drop,faint shred or compact,
SDSS J132842.38+403419.8,drop,faint shred or compact,
SDSS J133008.92+485339.7,drop,faint shred or compact,
SDSS J133036.81+411009.8,drop,faint shred or compact,
SDSS J133405.55+535435.1,drop,faint shred or compact,
2MASS J13345764+6546140,drop,faint shred or compact,
SDSS J133642.15+331750.3,drop,faint shred or compact,
SDSS J133733.77+543929.0,drop,faint shred or compact,
SDSS J133841.89+435343.9,drop,faint shred or compact,
SDSS J134115.75+471731.0,drop,faint shred or compact,
SDSS J134236.36+301129.6,drop,faint shred or compact,
SDSS J134246.48+391252.8,drop,faint shred or compact,
SDSS J134309.97+615341.8,drop,faint shred or compact,
SDSS J134439.41+611425.6,drop,faint shred or compact,
SDSS J134651.06+423903.8,drop,faint shred or compact,
SDSS J134714.30+553403.3,drop,faint shred or compact,
SDSS J134715.02+553415.2,drop,faint shred or compact,
2MASS J13500334+4959384,drop,faint shred or compact,
SDSS J135414.41+324436.6,drop,faint shred or compact,
SDSS J135447.73+523428.8,drop,faint shred or compact,
SDSS J135619.25+551009.7,drop,faint shred or compact,
SDSS J135841.75+540501.5,drop,faint shred or compact,
SDSS J135849.47+432146.4,drop,faint shred or compact,
SDSS J135930.15+455703.3,drop,faint shred or compact,
SDSS J140024.12+383106.7,drop,faint shred or compact,
SDSS J1400+2933 FG,drop,faint shred or compact,
SDSS J140156.20+322724.8,drop,faint shred or compact,
SDSS J140250.40+523204.6,drop,faint shred or compact,
SDSS J140254.82+461019.4,drop,faint shred or compact,
SDSS J140356.92+393607.7,drop,faint shred or compact,
SDSS J140601.25+591445.4,drop,faint shred or compact,
SDSS J140741.12+451457.8,drop,faint shred or compact,
SDSS J140801.19+503859.2,drop,faint shred or compact,
SDSS J140823.28+525512.7,drop,faint shred or compact,
SDSS J140910.92+452744.9,drop,faint shred or compact,
SDSS J141007.55+533829.4,drop,faint shred or compact,
SDSS J141050.22+552550.2,drop,faint shred or compact,
SDSS J141215.75+355103.2,drop,faint shred or compact,
SDSS J141444.64+435848.2,drop,faint shred or compact,
SDSS J141525.19+522533.2,drop,faint shred or compact,
SDSS J141543.11+540223.5,drop,faint shred or compact,
SDSS J141914.76+540732.5,drop,faint shred or compact,
SDSS J141915.95+540728.5,drop,faint shred or compact,
SDSS J141954.23+520557.6,drop,faint shred or compact,
WISEA J141955.92+582040.1,drop,faint shred or compact,
SDSS J142212.19+383530.1,drop,faint shred or compact,
SDSS J142226.03+540625.7,drop,faint shred or compact,
SDSS J142340.83+535449.1,drop,faint shred or compact,
SDSS J142457.57+423259.8,drop,faint shred or compact,
SDSS J142803.39+370030.3,drop,faint shred or compact,
SDSS J142913.72+531333.6,drop,faint shred or compact,
SDSS J142914.88+531322.5,drop,faint shred or compact,
2MASS J14302585+3516480,drop,faint shred or compact,
WISEA J143338.57+603456.6,drop,faint shred or compact,
SDSS J143411.45+540443.8,drop,faint shred or compact,
SDSS J143721.51+573558.9,drop,faint shred or compact,
SDSS J143926.15+363249.7,drop,faint shred or compact,
SDSS J144203.47+395855.2,drop,faint shred or compact,
2MASS J14454546+5551418,drop,faint shred or compact,
SDSS J144620.17+542659.4,drop,faint shred or compact,
2MASS J14580269+5611043,drop,faint shred or compact,
SDSS J150052.76+533500.7,drop,faint shred or compact,
SDSS J150138.73+380309.1,drop,faint shred or compact,
SDSS J150206.36+441006.7,drop,faint shred or compact,
SDSS J150214.21+441359.6,drop,faint shred or compact,
SDSS J150448.01+352159.3,drop,faint shred or compact,
SDSS J150501.42+312821.0,drop,faint shred or compact,
2MASS J15064125+6124437,drop,faint shred or compact,
SDSS J150643.22+612443.1,drop,faint shred or compact,
SDSS J150838.93+372918.2,drop,faint shred or compact,
SDSS J150958.68+553505.1,drop,faint shred or compact,
SDSS J151229.31+390542.3,drop,faint shred or compact,
