# Object-level actions based on VI (visual inspections). Note that an object may
# appear more than once.
objname,action,reason,comment
WISEA J002120.23+172025.8,drop,shred,Shred of 'UGC 00205 NED01' in 'UGC 00205' group.
SDSS J001305.99+183014.1,drop,shred,Shred of 'CGCG 456-038 NED01' in 'CGCG 456-038' group.
SDSSCGB 05478.04,drop,shred,Shred of '2MASX J01283988+1445536' in 'CGCG 436-060' group.
2MASS J01544919-2808547,drop,shred,Shred of 'ESO 414-IG 009 NED02' in 'ESO 414-IG 009' group.
NGC 0702 NED01,drop,shred,Shred of 'NGC 0702 NED02' in 'NGC 0702' group.
IC 0510 NED01,drop,shred,Shred of 'IC 0510 NED02' in 'IC 0510' group.
2MASS J08354104+4629400,drop,shred,Shred of '2MASS J08354046+4629389' in 'MRK 0092' group.
2MASS J09393079+1907490,drop,shred,Shred of 'CGCG 092-021 NED01' in 'CGCG 092-021' group.
CGCG 152-014 NED01,drop,shred,Shred of 'CGCG 152-014 NED02' in 'CGCG 152-014' group.
2MASX J09290740+3008306,drop,shred,Shred of 'CGCG 152-014 NED02' in 'CGCG 152-014' group.
2MASS J07463497+4448192,drop,shred,Shred of 'UGC 04008 NED02' in 'UGC 04008' group.
2MASS J07440712+2914573,drop,shred,Shred of 'UGC 03995 NOTES01' in 'UGC 03995' group.
SDSS J100435.94-014445.4,drop,shred,Shred of 'CGCG 008-032 NED01' in 'CGCG 008-032' group.
PGC 894266,drop,shred,Shred of '2MASX J11324346-1643560' in 'MCG -03-30-002' group.
IC 2873 NED01,drop,shred,Shred of 'IC 2873 NED02' in 'IC 2873' group.
SDSS J111548.60+005130.5,drop,shred,Shred of 'UGC 06284 NED01' in 'UGC 06284' group.
SDSS J102337.02+422040.5,drop,shred,Shred of 'KUG 1020+425 NED01' in 'KUG 1020+425' group.
2MASS J11553167+5454040,drop,shred,Shred of '2MASX J11553166+5453565' in 'MCG +09-20-031' group.
SDSS J130116.88+480337.5,drop,shred,Shred of 'MRK 0237b' in 'MRK 0237' group.
