OBJNAME,REGION
2MASX J03543313-0254376,
SDSS J020626.10-100119.1,
CGMW 4-2486,
CGMW 4-2490,
2MASX J05333173-0629383,
WISEA J215141.21+120417.3,
WISEA J053332.52-062944.3,
WISEA J215141.16+120450.0,
2MASS J11042824+3812401,
LEDA 146205,
2MASX J12034075+2937358,
2dFGRS S367Z125,
2MASS J15454391+1124221,
AM 1339-360 NED01,
2MASX J20135726-4420540,
2MASS J16065423+1540234,
APMBGC 236-081+070,
2MASX J16274582+4144188,
CGCG 498-059 NED02,
WISEA J062635.84-295618.0,
WISEA J144728.82+071012.6,
WISEA J162142.43+185557.2,
MRK 0233,
GALEXASC J043036.52-582726.5,
WISEA J153353.51+564126.3,
WISEA J195513.59-522835.1,
2MFGC 17920,
KUG 0209+289C,
WISEA J155227.31-154953.0,
WISEA J155227.85-154950.6,
2dFGRS S212Z089,
NGC 5318 NED02,
SDSS J135035.81+334003.5,
WISEA J135037.22+334009.2,
SDSS J135033.92+334355.4,
AM 0630-353 SE,
WISEA J095540.32-014920.0,
WISEA J013109.72+152327.2,
VIII Zw 386 NOTES02,
2MASX J14102550+3219461,
2MASS J14102605+3219448,
2MASS J11264864+3514543,
2MASS J14181301+0807144,
WISEA J141812.63+080716.0,
2MASS J12413627+1620255,
2MASS J07595293+0536335,
WISEA J093215.73+094025.8,
MCG +03-31-026,
2MASS J01585521-0951429,
2MASS J16052890+0805233,
WISEA J024149.31-204853.7,
ESO 546-IG 007 NED02,
2MASX J00492282-2931069,
GALEXASC J004923.58-293113.6,
MRSS 411-043371,
2dFGRS S369Z152,
CGCG 044-051 NED02,
2MASS J11150267+0405078,
2MASS J08322399+1746467,
PGC 960785,
WISEA J110602.53+042554.8,
2dFGRS S552Z340,
2MASS J14410034+2733394,
WISEA J144059.55+273337.0,
MCG -03-08-039,
WISEA J214323.62+260323.4,
VII Zw 746 NOTES01,
VII Zw 746 NOTES02,
WISEA J075944.93+251439.3,
WISEA J173125.28+303924.5,
2MASS J01393548-0932110
2MASS J10165822+1347597,
2MASS J10165621+1348046,
WISEA J101654.03+134758.5,
WISEA J130921.79-305154.6,
WISEA J162300.73+230138.3,
MCG +13-07-011,
WISEA J051052.32+180151.1,
SDSS J071755.41+400346.6,
WISEA J071752.97+400407.0,
WISEA J133125.41-014056.2,
WISEA J133127.93-014107.7,
VIII Zw 319 NOTES02,
WISEA J114402.82+194742.4,
2MASS J15132329+0256284,
WISEA J151330.28+025521.6,
